date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,vol_ratio,ema_slope_pts,rsi_delta,candle_direction,price_momentum_pct,market_state,day_class,gap_pct,vwap_drift_pct,model_a_pending,model_a_trigger,model_a_side,signal_v2,model_v2,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_qty,position_entry_price,position_current_price,partial_booked
2026-06-04,09:15,54198.2,54399.6,54187.8,54313.4,53520,54300.27,54403.45,49.07,0.0242,54.39,1.497,40.86,-15.15,1,-0.3863,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54044.9,54000,,,False,,0,,,False
2026-06-04,09:20,54314.8,54344.0,54175.0,54234.4,30150,54282.56,54387.35,44.8,-0.0887,47.57,0.827,14.06,-4.27,-1,-0.1455,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53945.4,53900,,,False,,0,,,False
2026-06-04,09:25,54234.4,54300.0,54200.0,54267.4,11760,54279.26,54375.93,46.88,-0.0218,33.0,0.312,-11.34,2.08,1,0.0608,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53972.1,54000,,,False,,0,,,False
2026-06-04,09:30,54267.4,54271.0,54175.0,54268.8,18450,54272.62,54365.73,46.97,-0.007,1.46,0.509,-35.51,0.09,1,0.0026,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53976.2,54000,1247.3,999.9,False,,0,,,False
2026-06-04,09:35,54268.8,54359.8,54201.0,54230.0,17790,54271.4,54352.8,44.68,-0.0763,24.43,0.508,-60.13,-2.29,-1,-0.0715,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53956.65,54000,1222.0,1013.35,False,,0,,,False
2026-06-04,09:40,54230.0,54314.6,54200.0,54307.2,11130,54271.6,54348.46,49.92,0.0656,67.36,0.332,-55.0,5.23,1,0.1424,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54040.7,54000,1274.15,974.95,False,,0,,,False
2026-06-04,09:45,54303.0,54476.0,54295.0,54476.0,22950,54291.55,54360.6,59.04,0.3397,95.58,0.793,-26.75,9.13,1,0.3108,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54209.65,54200,,,False,,0,,,False
2026-06-04,09:50,54480.0,54489.8,54375.0,54450.0,22890,54309.35,54369.12,57.31,0.259,26.13,0.849,-6.81,-1.73,-1,-0.0477,SIDEWAYS,REVERSAL_DAY,-0.586,0.259,False,,,NO_SIGNAL,NONE,54204.95,54200,1255.0,989.0,False,,0,,,False
2026-06-04,09:55,54450.0,54619.0,54445.0,54540.0,44250,54352.16,54385.39,61.52,0.3456,51.72,1.64,19.67,4.21,1,0.1653,SIDEWAYS,REVERSAL_DAY,-0.586,0.259,False,,,NO_SIGNAL,NONE,54233.85,54200,1280.0,956.2,False,,0,,,False
2026-06-04,10:00,54534.8,54607.6,54490.2,54575.0,14580,54364.27,54403.45,63.04,0.3876,34.24,0.512,50.65,1.53,1,0.0642,TRENDING,REVERSAL_DAY,-0.586,0.259,False,,,NO_SIGNAL,NONE,54302.6,54300,,,False,,0,,,False
2026-06-04,10:05,54575.0,54609.0,54550.0,54560.2,13170,54374.82,54418.38,61.93,0.3409,25.08,0.532,69.92,-1.12,-1,-0.0271,TRENDING,REVERSAL_DAY,-0.586,0.259,False,,,NO_SIGNAL,NONE,54263.95,54300,1235.7,990.45,False,,0,,,False
