date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,vol_ratio,ema_slope_pts,rsi_delta,candle_direction,price_momentum_pct,market_state,day_class,gap_pct,vwap_drift_pct,model_a_pending,model_a_trigger,model_a_side,signal_v2,model_v2,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_qty,position_entry_price,position_current_price,partial_booked
2026-05-20,01:00,53494.8,53494.8,53494.8,53494.8,0,,53556.53,32.44,,0.0,0.0,-40.09,0.0,0,0.0,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53409.15,53400,690.25,609.5,False,,0,,,False
2026-05-20,09:15,52993.8,53053.0,52900.0,53015.2,38880,52989.4,53551.86,12.78,0.0487,13.99,2.536,-106.3,-17.67,1,-0.8965,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52950.95,53000,,,False,,0,,,False
2026-05-20,09:20,53015.2,53027.4,52960.6,53021.4,26400,52994.95,53501.34,13.48,0.0499,9.28,1.503,-143.76,0.7,1,0.0117,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52941.45,52900,,,False,,0,,,False
2026-05-20,09:25,53025.2,53042.2,52980.0,53035.2,23280,53001.31,53456.95,15.11,0.0639,16.08,1.303,-175.29,1.63,1,0.026,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52955.25,53000,,,False,,0,,,False
2026-05-20,09:30,53035.2,53136.0,53015.0,53101.2,14490,53012.95,53423.07,22.62,0.1665,54.55,0.751,-197.24,7.51,1,0.1244,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,53022.5,53000,678.9,608.95,False,,0,,,False
2026-05-20,09:35,53097.8,53104.4,53040.0,53093.6,11130,53019.42,53391.69,22.37,0.1399,6.52,0.549,-216.66,-0.25,-1,-0.0143,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52995.15,53000,679.2,608.85,False,,0,,,False
2026-05-20,09:40,53093.6,53094.4,52991.0,53080.0,12840,53023.03,53362.0,21.91,0.1074,13.15,0.619,-189.86,-0.46,-1,-0.0256,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52987.15,53000,676.2,611.45,False,,0,,,False
2026-05-20,09:45,53091.8,53131.2,53030.4,53061.8,10200,53026.85,53333.41,21.29,0.0659,29.76,0.482,-167.93,-0.63,-1,-0.0343,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,52966.05,53000,657.85,623.2,False,,0,,,False
2026-05-20,09:50,53061.8,53130.2,53044.0,53093.6,5700,53029.34,53310.57,25.32,0.1212,36.89,0.306,-146.37,4.03,1,0.0599,TRENDING,REVERSAL_DAY,-0.95,0.121,False,,,NO_SIGNAL,NONE,52996.5,53000,672.6,604.75,False,,0,,,False
2026-05-20,09:55,53093.6,53175.0,53040.0,53150.2,9840,53035.29,53295.3,31.99,0.2167,41.93,0.553,-127.77,6.68,1,0.1066,TRENDING,REVERSAL_DAY,-0.95,0.121,False,,,NO_SIGNAL,NONE,53050.5,53100,,,False,,0,,,False
