date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-15,09:15,54181.2,54220.0,53941.0,54158.6,48570,54106.53,54330.14,37.83,0.0962,False,True,True,8.1,False,True,False,0.2651,-18.06,-10.72,3.772,0.0476,-0.3501,-1,-0.3485,SIDEWAYS,True,NO_SIGNAL,54011.05,54000,,,False,,,
2026-05-15,09:20,54160.0,54245.4,54125.2,54233.6,19890,54134.1,54320.95,43.18,0.1838,False,True,False,61.23,False,True,False,0.1963,-9.19,5.35,1.156,-0.0688,0.1385,1,0.1385,SIDEWAYS,True,NO_SIGNAL,54096.35,54100,,,False,,,
2026-05-15,09:25,54216.2,54349.8,54188.2,54349.0,21060,54172.11,54323.62,50.27,0.3265,False,True,True,82.18,False,True,False,0.0023,2.67,7.09,1.204,-0.194,0.213,1,0.2128,SIDEWAYS,True,NO_SIGNAL,54241.1,54200,,,False,,,
2026-05-15,09:30,54349.8,54364.8,54206.0,54300.0,24780,54197.72,54321.37,47.56,0.1887,False,True,True,31.36,False,True,False,0.0934,-2.25,-2.71,1.334,0.0911,-0.0904,-1,-0.0902,SIDEWAYS,True,NO_SIGNAL,54176.3,54200,888.3,816.5,False,,,
2026-05-15,09:35,54305.0,54340.0,54250.0,54340.0,10110,54206.85,54323.14,49.94,0.2456,False,True,False,38.89,False,True,False,0.3846,1.77,2.38,0.499,0.2912,0.0738,1,0.0737,SIDEWAYS,True,NO_SIGNAL,54217.75,54200,919.4,784.25,False,,,
2026-05-15,09:40,54340.0,54439.8,54338.4,54439.8,20430,54234.94,54334.25,55.37,0.3777,False,False,False,98.42,False,True,False,0.5794,11.11,5.43,1.068,0.1948,0.184,1,0.1837,TRENDING,True,NO_SIGNAL,54299.7,54300,,,False,,,
2026-05-15,09:45,54440.0,54452.0,54304.0,54353.0,22380,54252.97,54336.04,50.26,0.1844,True,False,False,58.78,False,True,False,0.2016,1.79,-5.11,1.119,-0.3778,-0.16,-1,-0.1594,SIDEWAYS,True,NO_SIGNAL,54206.5,54200,,,False,,,
2026-05-15,09:50,54340.0,54353.0,54315.0,54353.0,4560,54255.29,54337.65,50.26,0.1801,True,False,False,34.21,False,True,False,0.1135,1.62,0.0,0.221,-0.0881,0.0,1,0.0,SIDEWAYS,True,NO_SIGNAL,54214.35,54200,928.0,776.95,False,,,
2026-05-15,09:55,54353.0,54398.0,54330.0,54330.0,5850,54258.5,54336.92,48.87,0.1318,True,False,False,33.82,False,False,True,0.0352,-0.73,-1.39,0.293,-0.0783,-0.0424,-1,-0.0423,SIDEWAYS,True,NO_SIGNAL,54192.6,54200,906.2,793.2,False,,,
2026-05-15,10:00,54330.0,54330.0,54216.8,54319.0,17460,54261.19,54335.22,48.19,0.1065,True,False,False,9.72,False,False,True,0.3139,-1.71,-0.68,0.899,0.2787,-0.0203,-1,-0.0202,SIDEWAYS,True,NO_SIGNAL,54184.75,54200,905.65,793.6,False,,,
2026-05-15,10:05,54319.0,54319.8,54225.4,54225.4,4860,54261.08,54324.76,42.71,-0.0658,False,True,False,99.15,False,False,True,0.0251,-10.46,-5.48,0.249,-0.2888,-0.1725,-1,-0.1723,SIDEWAYS,True,NO_SIGNAL,54109.45,54100,,,False,,,
2026-05-15,10:10,54225.4,54315.4,54225.0,54301.6,6840,54261.73,54322.55,47.9,0.0735,False,True,False,84.29,False,False,True,0.1797,-2.21,5.19,0.452,0.1546,0.1404,1,0.1405,SIDEWAYS,True,NO_SIGNAL,54181.4,54200,,,False,,,
2026-05-15,10:15,54301.6,54340.0,54281.0,54305.4,4740,54262.79,54320.92,48.16,0.0785,False,True,False,6.44,False,True,False,0.022,-1.63,0.25,0.343,-0.1577,0.007,1,0.007,SIDEWAYS,True,NO_SIGNAL,54208.45,54200,903.15,791.4,False,,,
2026-05-15,10:20,54305.4,54365.6,54301.0,54365.6,4350,54264.42,54325.17,52.11,0.1865,False,True,False,93.19,False,True,False,0.1088,4.26,3.96,0.357,0.0868,0.1109,1,0.1109,SIDEWAYS,True,NO_SIGNAL,54259.05,54300,,,False,,,
2026-05-15,10:25,54365.6,54419.8,54340.0,54352.4,6600,54267.58,54327.77,51.19,0.1563,False,False,False,16.54,False,True,False,0.3716,2.59,-0.92,0.65,0.2628,-0.0243,-1,-0.0243,SIDEWAYS,True,NO_SIGNAL,54244.45,54200,,,False,,,
2026-05-15,10:30,54352.4,54356.8,54316.8,54350.0,4800,54269.13,54329.89,51.01,0.149,False,False,False,6.0,False,False,True,0.0128,2.12,-0.18,0.489,-0.3588,-0.0044,-1,-0.0044,SIDEWAYS,True,NO_SIGNAL,54253.6,54300,,,False,,,
2026-05-15,10:35,54350.0,54374.8,54281.4,54307.0,4410,54270.12,54327.71,47.83,0.068,False,False,False,46.04,False,False,True,0.2266,-2.18,-3.19,0.535,0.2138,-0.0792,-1,-0.0791,SIDEWAYS,True,NO_SIGNAL,54213.45,54200,,,False,,,
2026-05-15,10:40,54304.0,54352.4,54304.0,54333.0,1500,54270.51,54328.21,49.87,0.1151,False,False,False,59.92,False,False,True,0.0148,0.5,2.04,0.233,-0.2118,0.0479,1,0.0479,SIDEWAYS,True,NO_SIGNAL,54233.8,54200,910.0,774.0,False,,,
2026-05-15,10:45,54349.8,54400.0,54332.8,54386.0,4200,54272.32,54333.71,53.83,0.2095,True,False,False,53.87,False,True,False,0.33,5.5,3.96,0.684,0.3152,0.0977,1,0.0975,SIDEWAYS,True,NO_SIGNAL,54276.7,54300,,,False,,,
2026-05-15,10:50,54386.0,54424.0,54386.0,54417.4,7800,54276.67,54341.68,56.05,0.2593,True,False,True,82.63,False,True,False,0.9648,7.97,2.22,1.305,0.6348,0.0579,1,0.0577,TRENDING,True,BUY_CE,54285.8,54300,881.5,785.65,False,,,
2026-05-15,10:55,54417.4,54422.0,54350.2,54397.8,3210,54278.13,54347.03,54.3,0.2205,True,False,False,27.3,False,True,False,0.4834,5.34,-1.75,0.641,-0.4814,-0.0361,-1,-0.036,TRENDING,True,NO_SIGNAL,54278.25,54300,873.55,785.75,True,CE,881.5,873.55
2026-05-15,11:00,54397.8,54405.8,54257.4,54257.4,5700,54278.78,54338.49,43.74,-0.0394,True,False,False,94.61,False,False,True,0.2881,-8.54,-10.55,1.176,-0.1953,-0.2587,-1,-0.2581,SIDEWAYS,True,NO_SIGNAL,54158.0,54300,795.9,850.0,True,CE,881.5,795.9
2026-05-15,11:05,54257.4,54265.0,54120.8,54130.0,25230,54269.13,54318.64,36.76,-0.2564,False,True,True,88.35,False,False,True,0.777,-19.86,-6.98,5.333,0.4889,-0.2348,-1,-0.2348,TRENDING,True,NO_SIGNAL,54023.2,54300,731.15,910.15,True,CE,881.5,731.15
2026-05-15,11:10,54130.0,54182.8,54100.0,54120.0,14370,54262.53,54299.72,36.27,-0.2627,False,True,True,12.08,False,False,True,0.7173,-18.92,-0.49,2.119,-0.0597,-0.0184,-1,-0.0185,TRENDING,True,NO_SIGNAL,54016.15,54000,,,False,,,
2026-05-15,11:15,54120.0,54140.0,54046.0,54088.8,19050,54252.12,54279.63,34.72,-0.301,False,True,True,33.19,False,False,True,0.691,-20.09,-1.55,2.448,-0.0263,-0.0575,-1,-0.0576,TRENDING,True,NO_SIGNAL,53999.2,54000,863.95,805.75,False,,,
2026-05-15,11:20,54085.6,54137.4,54050.0,54058.0,8700,54247.51,54258.52,33.21,-0.3493,False,True,False,31.58,False,False,True,0.6587,-21.11,-1.51,0.964,-0.0323,-0.0568,-1,-0.0569,TRENDING,True,NO_SIGNAL,53971.95,54000,855.35,818.2,False,,,
2026-05-15,11:25,54058.0,54080.0,54020.6,54037.8,8130,54242.54,54237.5,32.21,-0.3775,False,True,False,34.01,False,False,True,0.7318,-21.02,-0.99,0.863,0.0731,-0.0372,-1,-0.0374,TRENDING,True,NO_SIGNAL,53935.75,53900,,,False,,,
2026-05-15,11:30,54025.0,54115.0,53960.0,54075.0,20160,54231.44,54222.03,36.0,-0.2885,False,True,True,32.26,False,False,True,0.6703,-15.48,3.79,2.059,-0.0615,0.0686,1,0.0688,TRENDING,True,NO_SIGNAL,53979.55,54000,,,False,,,
