date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,vol_ratio,ema_slope_pts,rsi_delta,candle_direction,price_momentum_pct,market_state,day_class,gap_pct,vwap_drift_pct,model_a_pending,model_a_trigger,model_a_side,signal_v2,model_v2,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_qty,position_entry_price,position_current_price,partial_booked
2026-06-10,09:15,55325.0,55489.8,55313.6,55324.0,70050,55375.8,55328.56,50.4,-0.0935,0.57,2.886,32.86,-13.95,-1,-0.2128,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55263.3,55300,,,False,,0,,,False
2026-06-10,09:20,55324.0,55393.8,55316.0,55375.2,48240,55370.04,55333.0,54.97,0.0093,65.81,1.719,28.8,4.56,1,0.0925,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55291.95,55300,1027.8,969.05,False,,0,,,False
2026-06-10,09:25,55375.2,55396.8,55350.0,55373.2,23760,55370.59,55336.83,54.75,0.0047,4.27,0.759,27.35,-0.21,-1,-0.0036,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55320.25,55300,1042.0,955.8,False,,0,,,False
2026-06-10,09:30,55396.8,55399.0,55343.0,55399.0,16590,55371.61,55342.75,57.05,0.0495,3.93,0.52,25.6,2.3,1,0.0466,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55327.7,55300,1044.7,952.6,False,,0,,,False
2026-06-10,09:35,55399.0,55428.0,55362.4,55415.0,25980,55375.86,55349.63,58.46,0.0707,24.39,0.84,20.59,1.41,1,0.0289,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55337.3,55300,1050.45,955.9,False,,0,,,False
2026-06-10,09:40,55417.2,55449.0,55370.0,55404.0,38250,55381.32,55354.81,57.08,0.041,16.71,1.22,26.25,-1.39,-1,-0.0199,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55364.2,55400,,,False,,0,,,False
2026-06-10,09:45,55419.0,55446.2,55371.8,55438.8,37230,55386.7,55362.81,60.29,0.0941,26.61,1.136,29.81,3.21,1,0.0628,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55358.35,55400,1004.35,989.95,False,,0,,,False
2026-06-10,09:50,55438.8,55438.8,55370.0,55384.8,26040,55387.72,55364.9,53.59,-0.0053,78.49,0.755,28.07,-6.7,-1,-0.0974,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55315.1,55300,,,False,,0,,,False
2026-06-10,09:55,55384.8,55441.8,55367.6,55370.6,28110,55388.22,55365.45,51.95,-0.0318,19.14,0.804,22.69,-1.63,-1,-0.0256,TRENDING,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55316.3,55300,1032.5,968.3,False,,0,,,False
2026-06-10,10:00,55370.6,55399.8,55304.0,55306.0,14310,55385.97,55359.79,45.2,-0.1444,67.43,0.395,10.15,-6.76,-1,-0.1167,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55241.25,55200,,,False,,0,,,False
2026-06-10,10:05,55306.0,55364.0,55303.0,55340.8,13290,55384.03,55357.98,49.04,-0.0781,57.05,0.404,3.17,3.84,1,0.0629,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55286.1,55300,,,False,,0,,,False
2026-06-10,10:10,55340.8,55383.2,55300.0,55304.0,17460,55381.35,55352.84,45.41,-0.1397,44.23,0.642,-9.97,-3.63,-1,-0.0665,TRENDING,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55213.8,55200,,,False,,0,,,False
2026-06-10,10:15,55304.0,55345.0,55250.0,55345.0,17790,55378.15,55352.09,49.86,-0.0599,43.16,0.738,-12.81,4.45,1,0.0741,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55271.7,55300,,,False,,0,,,False
2026-06-10,10:20,55345.0,55346.0,55301.6,55334.2,3870,55377.63,55350.39,48.74,-0.0784,24.32,0.165,-15.06,-1.13,-1,-0.0195,TRENDING,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55257.2,55300,1006.0,983.9,False,,0,,,False
2026-06-10,10:25,55334.2,55334.2,55294.2,55301.4,4290,55376.87,55345.72,45.38,-0.1363,82.0,0.193,-14.06,-3.35,-1,-0.0593,TRENDING,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55236.1,55200,,,False,,0,,,False
2026-06-10,10:30,55301.4,55420.0,55301.4,55420.0,15030,55377.01,55352.8,56.93,0.0776,100.0,0.749,-5.18,11.55,1,0.2145,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55337.85,55300,,,False,,0,,,False
2026-06-10,10:35,55424.0,55448.6,55371.0,55371.0,31980,55378.48,55354.53,52.03,-0.0135,68.3,1.803,1.69,-4.89,-1,-0.0884,SIDEWAYS,CHOP_DAY,-0.091,-0.005,False,,,NO_SIGNAL,NONE,55327.6,55300,1033.7,948.95,False,,0,,,False
