date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-06-03,09:15,53867.0,53892.0,53535.4,53573.8,99030,53667.07,54133.5,23.53,-0.1738,False,True,True,82.22,False,False,True,0.7216,-58.92,-25.79,8.41,0.2294,-1.1012,-1,-1.0911,TRENDING,True,NO_SIGNAL,53232.55,53200,1142.2,1091.15,False,,,
2026-06-03,09:20,53573.8,53631.0,53520.0,53573.4,40620,53640.23,54080.16,23.52,-0.1246,False,True,True,0.36,False,False,True,0.7186,-53.34,-0.01,2.046,-0.003,-0.0007,-1,-0.0007,TRENDING,True,NO_SIGNAL,53264.05,53300,1313.55,965.0,False,,,
2026-06-03,09:25,53573.4,53598.4,53466.0,53524.2,33690,53618.71,54027.21,22.39,-0.1763,False,True,True,37.16,False,False,True,0.6537,-52.95,-1.13,1.531,-0.0649,-0.0918,-1,-0.0918,TRENDING,True,NO_SIGNAL,53230.8,53200,1241.3,1024.4,False,,,
2026-06-03,09:30,53515.2,53536.6,53448.0,53457.0,24900,53601.36,53972.91,20.91,-0.2693,False,True,False,65.69,False,False,True,0.7739,-54.31,-1.48,1.003,0.1202,-0.1254,-1,-0.1256,TRENDING,True,NO_SIGNAL,53155.75,53200,1261.0,1009.3,False,,,
2026-06-03,09:35,53479.6,53550.0,53428.4,53525.4,23610,53590.71,53930.29,26.25,-0.1219,False,True,False,37.66,False,False,True,0.771,-42.62,5.34,0.89,-0.0029,0.1276,1,0.128,TRENDING,True,NO_SIGNAL,53242.0,53200,1305.55,974.0,False,,,
2026-06-03,09:40,53525.4,53548.6,53500.0,53540.0,17070,53586.34,53893.12,27.37,-0.0865,False,True,False,30.04,False,True,False,0.7672,-37.17,1.13,0.616,-0.0038,0.0272,1,0.0273,TRENDING,True,NO_SIGNAL,53211.95,53200,1301.05,987.4,False,,,
2026-06-03,09:45,53540.0,53559.0,53450.0,53530.2,22560,53580.01,53858.55,27.07,-0.093,False,True,False,8.99,False,True,False,0.8635,-34.56,-0.3,0.785,0.0963,-0.0183,-1,-0.0183,TRENDING,True,NO_SIGNAL,53205.3,53200,1299.95,980.8,False,,,
2026-06-03,09:50,53530.2,53634.0,53501.2,53502.2,16290,53578.01,53824.61,26.19,-0.1415,False,True,False,21.08,False,False,True,0.8624,-33.94,-0.88,0.541,-0.0011,-0.0523,-1,-0.0523,TRENDING,True,NO_SIGNAL,53197.45,53200,1292.1,984.05,False,,,
2026-06-03,09:55,53504.0,53615.6,53463.8,53563.4,21060,53575.86,53799.74,31.44,-0.0233,False,True,False,39.13,False,False,True,0.7597,-24.88,5.25,0.69,-0.1027,0.1142,1,0.1144,TRENDING,True,NO_SIGNAL,53212.55,53200,1312.35,968.3,False,,,
2026-06-03,10:00,53563.4,53635.0,53550.0,53616.2,12960,53576.88,53782.26,35.69,0.0734,False,True,False,62.12,False,True,False,0.0915,-17.48,4.25,0.411,-0.6682,0.0985,1,0.0986,SIDEWAYS,True,NO_SIGNAL,53284.5,53300,1347.4,922.0,False,,,
