date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,candle_direction,or_high,or_low,orb_used,signal_v2,model_v2,skip_reason,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price,trail_active,breakeven_set
2026-06-15,09:15,23960.0,23985.0,23948.7,23953.0,649740,23962.23,23651.96,93.07,-0.0385,19.28,-1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23945.6,23950,94.05,109.25,False,,,,False,False
2026-06-15,09:20,23953.0,23969.0,23951.9,23956.5,288600,23961.28,23680.97,93.13,-0.0199,20.47,1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23958.75,23950,96.85,105.5,False,,,,False,False
2026-06-15,09:25,23956.8,23956.8,23939.4,23944.0,162630,23959.13,23706.02,90.3,-0.0631,73.56,-1,,,False,NO_SIGNAL,NONE,before entry window (09:35:00),23944.7,23950,91.25,113.15,False,,,,False,False
2026-06-15,09:30,23949.7,23953.0,23932.1,23945.0,85475,23958.0,23728.78,90.32,-0.0543,22.49,-1,,,False,NO_SIGNAL,NONE,body 22% < 55; vwap dist 0.05% < min,23945.9,23950,91.25,112.75,False,,,,False,False
2026-06-15,09:35,23949.0,23950.0,23932.9,23947.1,72930,23957.15,23749.57,90.38,-0.0419,11.11,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 11% < 55; vwap dist 0.04% < min,23938.85,23950,90.0,114.6,False,,,,False,False
2026-06-15,09:40,23947.1,23970.0,23938.7,23970.0,113620,23957.35,23770.56,91.0,0.0528,73.16,1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.05% < min,23966.5,23950,103.05,97.35,False,,,,False,False
2026-06-15,09:45,23966.5,23982.0,23966.1,23968.2,108030,23958.42,23789.39,90.5,0.0408,10.69,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 11% < 55; vwap dist 0.04% < min,23972.15,23950,103.25,100.75,False,,,,False,False
2026-06-15,09:50,23967.8,23979.9,23954.1,23959.0,66495,23958.68,23805.54,87.88,0.0013,34.11,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 34% < 55; vwap dist 0.00% < min,23958.3,23950,97.15,105.65,False,,,,False,False
2026-06-15,09:55,23955.2,23959.9,23939.3,23946.0,160680,23957.71,23818.92,84.16,-0.0489,44.66,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 45% < 55; vwap dist 0.05% < min,23946.45,23950,92.0,108.3,False,,,,False,False
2026-06-15,10:00,23946.0,23970.0,23942.6,23962.0,79625,23957.73,23832.54,85.0,0.0178,58.39,1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.02% < min,23957.9,23950,95.65,103.75,False,,,,False,False
2026-06-15,10:05,23962.0,23964.9,23940.0,23940.2,36075,23957.55,23842.8,78.85,-0.0724,87.55,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.07% < min,23946.55,23950,89.45,112.15,False,,,,False,False
2026-06-15,10:10,23940.2,23950.0,23930.1,23941.4,44330,23957.14,23852.19,78.94,-0.0657,6.03,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 6% < 55; vwap dist 0.07% < min,23945.5,23950,89.1,109.05,False,,,,False,False
2026-06-15,10:15,23941.4,23945.0,23930.9,23940.0,35880,23956.79,23860.55,78.52,-0.0701,9.93,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 10% < 55; vwap dist 0.07% < min,23941.7,23950,86.9,111.95,False,,,,False,False
2026-06-15,10:20,23940.0,23959.0,23935.0,23957.0,19890,23956.73,23869.74,79.92,0.0011,70.83,1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.00% < min,23948.45,23950,90.8,107.5,False,,,,False,False
2026-06-15,10:25,23957.0,23970.0,23945.0,23970.0,25350,23956.79,23879.29,80.95,0.0551,52.0,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 52% < 55; vwap dist 0.06% < min,23962.55,23950,99.9,98.25,False,,,,False,False
2026-06-15,10:30,23970.0,23980.0,23962.5,23976.9,26325,23957.01,23888.58,81.49,0.083,39.43,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 39% < 55; vwap dist 0.08% < min,23973.0,23950,101.6,95.2,False,,,,False,False
2026-06-15,10:35,23976.9,23981.6,23970.0,23980.0,22230,23957.23,23897.29,81.74,0.095,26.72,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 27% < 55; vwap dist 0.10% < min; 4 legs up,23973.6,23950,102.05,95.05,False,,,,False,False
2026-06-15,10:40,23980.0,23989.9,23976.4,23988.8,55900,23957.99,23906.0,82.46,0.1286,65.19,1,23985.0,23932.1,False,NO_SIGNAL,NONE,5 legs up,23978.25,24000,,,False,,,,False,False
2026-06-15,10:45,23988.8,24000.0,23981.6,24000.0,75010,23959.25,23914.96,83.36,0.1701,60.87,1,23985.0,23932.1,False,NO_SIGNAL,NONE,6 legs up,23989.1,24000,92.2,109.95,False,,,,False,False
2026-06-15,10:50,24000.0,24029.0,24000.0,24008.0,128895,23962.28,23923.82,84.0,0.1908,27.59,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 28% < 55; 7 legs up,23995.3,24000,99.1,107.35,False,,,,False,False
2026-06-15,10:55,24015.0,24023.9,24008.0,24023.6,78780,23964.18,23933.32,85.19,0.248,54.09,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 54% < 55; 8 legs up,24001.45,24000,102.3,106.75,False,,,,False,False
2026-06-15,11:00,24023.6,24023.6,23982.1,23997.1,73385,23965.3,23939.39,75.01,0.1327,63.86,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,no model matched,23982.1,24000,91.4,113.6,False,,,,False,False
2026-06-15,11:05,23999.0,24000.0,23982.1,23992.0,28860,23965.61,23944.4,73.2,0.1101,39.11,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 39% < 55,23979.0,24000,90.0,114.45,False,,,,False,False
2026-06-15,11:10,23992.0,23999.0,23982.0,23982.0,31395,23965.89,23947.99,69.64,0.0672,58.82,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.07% < min,23967.65,23950,,,False,,,,False,False
2026-06-15,11:15,23982.0,23997.7,23976.1,23994.0,31850,23966.19,23952.37,71.43,0.116,55.56,1,23985.0,23932.1,False,NO_SIGNAL,NONE,no model matched,23972.15,23950,111.25,88.75,False,,,,False,False
2026-06-15,11:20,23994.0,23996.9,23979.0,23979.0,19565,23966.33,23954.9,66.18,0.0529,83.8,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.05% < min,23964.3,23950,107.25,92.5,False,,,,False,False
2026-06-15,11:25,23979.0,23998.7,23979.0,23994.5,18850,23966.51,23958.67,68.74,0.1168,78.68,1,23985.0,23932.1,False,NO_SIGNAL,NONE,no model matched,23978.45,24000,,,False,,,,False,False
2026-06-15,11:30,23994.5,23999.0,23978.7,23980.0,10985,23966.6,23960.71,63.87,0.0559,71.43,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.06% < min,23965.3,23950,,,False,,,,False,False
2026-06-15,11:35,23979.5,23991.4,23975.6,23977.3,15340,23966.68,23962.29,62.97,0.0443,13.92,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 14% < 55; vwap dist 0.04% < min,23966.75,23950,107.55,91.95,False,,,,False,False
2026-06-15,11:40,23977.3,23990.0,23975.6,23978.0,13975,23966.76,23963.78,63.11,0.0469,4.86,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 5% < 55; vwap dist 0.05% < min,23958.4,23950,104.15,94.75,False,,,,False,False
2026-06-15,11:45,23978.0,23988.0,23970.0,23980.0,24700,23966.88,23965.33,63.55,0.0547,11.11,1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 11% < 55; vwap dist 0.05% < min,23960.5,23950,105.4,91.5,False,,,,False,False
2026-06-15,11:50,23980.0,23999.0,23975.0,23999.0,24505,23967.11,23968.53,67.49,0.1331,79.17,1,23985.0,23932.1,False,NO_SIGNAL,NONE,no model matched,23966.4,23950,109.8,87.85,False,,,,False,False
2026-06-15,11:55,23999.0,23999.0,23977.0,23988.0,23725,23967.29,23970.39,63.23,0.0864,50.0,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 50% < 55; vwap dist 0.09% < min,23961.65,23950,106.45,90.25,False,,,,False,False
2026-06-15,12:00,23981.5,23988.0,23973.2,23980.0,11375,23967.35,23971.3,60.25,0.0528,10.14,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,body 10% < 55; vwap dist 0.05% < min,23950.4,23950,98.35,96.55,False,,,,False,False
2026-06-15,12:05,23980.0,23980.0,23955.0,23955.4,56680,23967.27,23969.79,52.12,-0.0495,98.4,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.05% < min,23935.45,23950,91.4,103.45,False,,,,False,False
2026-06-15,12:10,23955.4,23967.1,23950.2,23964.8,39260,23967.18,23969.31,54.64,-0.0099,55.62,1,23985.0,23932.1,False,NO_SIGNAL,NONE,vwap dist 0.01% < min,23931.8,23950,90.75,105.3,False,,,,False,False
2026-06-15,12:15,23964.8,23964.8,23930.0,23942.3,71890,23966.63,23966.74,48.11,-0.1015,64.66,-1,23985.0,23932.1,False,BUY_PE,M3_PULLBACK,,23907.1,23900,,,False,,,,False,False
2026-06-15,12:20,23934.6,23949.9,23927.5,23938.5,27105,23966.37,23964.05,47.09,-0.1163,17.41,1,23985.0,23932.1,False,NO_SIGNAL,NONE,,23912.6,23900,106.0,89.4,True,PE,94.3,89.4,False,False
2026-06-15,12:25,23938.5,23948.0,23920.1,23920.1,38090,23965.88,23959.87,42.39,-0.191,65.95,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,,23894.75,23900,98.55,99.55,True,PE,94.3,99.55,False,False
2026-06-15,12:30,23920.1,23945.0,23920.0,23945.0,45825,23965.42,23958.45,49.7,-0.0852,99.6,1,23985.0,23932.1,False,NO_SIGNAL,NONE,,23906.15,23900,105.05,91.6,True,PE,94.3,91.6,False,False
2026-06-15,12:35,23945.0,23955.4,23936.0,23937.0,24700,23965.24,23956.41,47.61,-0.1178,41.24,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23906.85,23900,103.1,93.4,False,,,,False,False
2026-06-15,12:40,23937.0,23954.0,23925.0,23954.0,32890,23965.01,23956.18,52.21,-0.0459,58.62,1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23912.75,23900,109.85,86.65,False,,,,False,False
2026-06-15,12:45,23954.0,23954.0,23930.0,23930.0,27040,23964.77,23953.68,46.06,-0.1451,100.0,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23899.25,23900,101.35,96.0,False,,,,False,False
2026-06-15,12:50,23930.0,23945.0,23928.0,23937.0,16445,23964.61,23952.1,47.99,-0.1152,41.18,1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23903.7,23900,104.0,92.95,False,,,,False,False
2026-06-15,12:55,23930.0,23950.0,23930.0,23938.0,19760,23964.45,23950.75,48.27,-0.1104,40.0,1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23906.65,23900,105.05,90.5,False,,,,False,False
2026-06-15,13:00,23938.0,23940.0,23928.8,23928.8,28145,23964.16,23948.66,45.79,-0.1476,82.14,-1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23897.4,23900,102.05,94.85,False,,,,False,False
2026-06-15,13:05,23928.0,23958.0,23928.0,23958.0,28015,23964.02,23949.55,53.88,-0.0251,100.0,1,23985.0,23932.1,False,NO_SIGNAL,NONE,second entry blocked — first trade hit hard SL,23912.4,23900,113.3,79.05,False,,,,False,False
