date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-04-13,09:35,54755.8,54762.2,54725.0,54743.8,14799540,54745.19,55515.15,18.18,-0.0025,False,True,True,32.26,False,False,False,0.8853,SIDEWAYS,True,NO_SIGNAL,54553.55,54600,1209.85,1098.0,False,,,
2026-04-13,09:40,54743.8,54872.8,54725.0,54845.4,118289910,54806.59,55451.36,23.7,0.0708,False,True,True,68.74,False,True,False,0.8119,TRENDING,True,NO_SIGNAL,54677.0,54700,1260.5,1046.8,False,,,
2026-04-13,09:45,54845.4,54850.0,54774.6,54847.4,99964050,54814.05,55393.84,23.8,0.0608,False,True,True,2.65,False,True,False,0.8094,TRENDING,True,NO_SIGNAL,54689.2,54700,1210.0,1081.95,False,,,
2026-04-13,09:50,54847.4,54914.0,54832.6,54900.0,108328800,54835.66,55346.81,26.76,0.1173,False,True,True,64.62,False,True,False,0.7994,TRENDING,True,NO_SIGNAL,54731.3,54700,1238.4,1064.4,False,,,
2026-04-13,09:55,54900.0,54945.0,54880.0,54909.2,116335170,54854.9,55305.13,27.29,0.099,False,True,True,14.15,False,True,False,0.7941,TRENDING,True,NO_SIGNAL,54751.1,54800,1233.1,1064.0,False,,,
2026-04-13,10:00,54895.6,54910.6,54850.0,54885.8,118363620,54860.49,55265.19,26.76,0.0461,False,True,True,16.17,False,True,False,0.263,SIDEWAYS,True,NO_SIGNAL,54767.85,54800,1190.05,1083.0,False,,,
2026-04-13,10:05,54915.0,54940.0,54893.6,54920.0,110600160,54869.73,55232.32,28.94,0.0916,False,True,True,10.78,False,True,False,0.5714,TRENDING,True,NO_SIGNAL,54772.8,54800,1192.9,1090.55,False,,,
2026-04-13,10:10,54920.0,54949.0,54872.0,54880.0,112789050,54874.05,55198.76,27.9,0.0108,False,True,True,51.95,False,False,True,0.4633,TRENDING,True,NO_SIGNAL,54731.05,54700,1175.0,1100.0,False,,,
2026-04-13,10:15,54880.0,54945.0,54819.0,54915.2,148464180,54877.02,55171.76,30.28,0.0696,False,True,True,27.94,False,True,False,0.4456,TRENDING,True,NO_SIGNAL,54769.05,54800,1252.85,1036.2,False,,,
2026-04-13,10:20,54915.2,55037.0,54904.2,55002.0,146254860,54890.93,55155.59,35.92,0.2023,False,True,True,65.36,False,True,False,0.8276,SIDEWAYS,True,NO_SIGNAL,54850.2,54900,1238.1,1026.9,False,,,
2026-04-13,10:25,55002.0,55080.0,55000.0,55040.0,141305640,54907.97,55144.58,38.27,0.2405,False,True,True,47.5,False,True,False,0.5482,SIDEWAYS,True,NO_SIGNAL,54902.45,54900,1198.55,1054.6,False,,,
2026-04-13,10:30,55045.0,55080.0,55018.0,55050.0,133879260,54921.79,55135.57,38.91,0.2334,False,True,False,8.06,False,True,False,0.6634,TRENDING,True,NO_SIGNAL,54880.3,54900,1200.0,1055.0,False,,,
2026-04-13,10:35,55050.0,55070.0,54979.0,55070.0,138833070,54932.64,55129.33,40.24,0.2501,False,True,False,21.98,False,True,False,0.6513,TRENDING,True,NO_SIGNAL,54925.6,54900,1210.0,1036.15,False,,,
2026-04-13,10:40,55070.0,55100.0,54978.0,55050.0,143400780,54942.19,55121.77,39.32,0.1962,False,True,False,16.39,False,True,False,0.5011,TRENDING,True,NO_SIGNAL,54905.85,54900,1194.45,1051.9,False,,,
2026-04-13,10:45,55050.0,55140.0,55050.0,55084.4,153249000,54954.86,55118.21,41.78,0.2357,False,True,False,38.22,False,True,False,0.6187,TRENDING,True,NO_SIGNAL,54936.05,54900,1220.95,1032.0,False,,,
2026-04-13,10:55,55105.0,55108.0,55080.0,55104.0,31661850,55094.22,55158.83,37.01,0.0178,False,True,True,3.57,False,True,False,0.6465,TRENDING,True,NO_SIGNAL,54963.95,55000,1162.8,1068.2,False,,,
