date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,vol_ratio,ema_slope_pts,rsi_delta,candle_direction,price_momentum_pct,market_state,day_class,gap_pct,vwap_drift_pct,model_a_pending,model_a_trigger,model_a_side,signal_v2,model_v2,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_qty,position_entry_price,position_current_price,partial_booked
2026-05-27,09:15,55260.4,55400.0,55236.0,55360.0,111120,55332.0,55424.51,41.5,0.0506,60.73,4.794,11.75,-23.84,1,-0.2964,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55095.55,55100,,,False,,0,,,False
2026-05-27,09:20,55340.0,55419.0,55325.0,55360.0,16380,55336.62,55418.36,41.5,0.0423,21.28,0.493,2.39,0.0,1,0.0,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55068.95,55100,1324.25,1076.7,False,,0,,,False
2026-05-27,09:25,55360.0,55383.4,55260.0,55301.8,20100,55333.69,55407.26,36.09,-0.0576,47.16,0.61,-11.21,-5.4,-1,-0.1051,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54980.4,55000,,,False,,0,,,False
2026-05-27,09:30,55301.8,55301.8,55240.0,55295.0,16050,55328.32,55396.57,35.51,-0.0602,11.0,0.472,-24.91,-0.58,-1,-0.0123,TRENDING,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54973.9,55000,1333.05,1060.3,False,,0,,,False
2026-05-27,09:35,55278.0,55350.0,55250.0,55328.0,9630,55327.26,55390.04,40.52,0.0013,50.0,0.28,-41.26,5.01,1,0.0597,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54984.5,55000,1345.6,1047.6,False,,0,,,False
2026-05-27,09:40,55328.0,55361.0,55290.0,55350.0,7200,55327.52,55386.23,43.66,0.0406,30.99,0.219,-38.28,3.14,1,0.0398,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,55015.2,55000,1362.7,1020.0,False,,0,,,False
2026-05-27,09:45,55350.0,55350.0,55240.0,55289.2,15810,55324.74,55376.99,37.73,-0.0642,55.27,0.494,-41.38,-5.93,-1,-0.1098,SIDEWAYS,UNKNOWN,,,False,,,NO_SIGNAL,NONE,54955.7,55000,1328.3,1030.05,False,,0,,,False
2026-05-27,09:50,55289.2,55300.0,55240.0,55272.0,7350,55322.79,55366.99,36.23,-0.0918,28.67,0.232,-40.28,-1.5,-1,-0.0311,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,54933.55,54900,,,False,,0,,,False
2026-05-27,09:55,55265.2,55282.4,55227.0,55229.0,6990,55320.25,55353.85,32.73,-0.1649,65.34,0.245,-42.73,-3.5,-1,-0.0778,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,54906.3,54900,1336.05,1032.15,False,,0,,,False
2026-05-27,10:00,55229.0,55295.0,55190.0,55295.0,16800,55315.8,55348.24,42.0,-0.0376,62.86,0.656,-41.8,9.27,1,0.1195,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,54957.25,55000,,,False,,0,,,False
2026-05-27,10:05,55299.0,55420.0,55283.2,55388.8,19020,55319.52,55352.1,52.1,0.1252,65.64,0.836,-34.12,10.1,1,0.1696,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55052.05,55100,,,False,,0,,,False
2026-05-27,10:10,55388.8,55450.0,55352.4,55431.0,9810,55323.03,55359.62,55.82,0.1952,43.24,0.725,-17.37,3.73,1,0.0762,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55119.5,55100,1326.3,993.55,False,,0,,,False
2026-05-27,10:15,55434.0,55525.0,55430.0,55485.0,19920,55334.35,55371.56,60.1,0.2723,53.68,1.547,4.57,4.28,1,0.0974,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55162.15,55200,,,False,,0,,,False
2026-05-27,10:20,55490.0,55571.0,55474.2,55525.0,25110,55350.1,55386.17,62.96,0.316,36.16,1.953,32.33,2.86,1,0.0721,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55183.5,55200,1315.4,999.85,False,,0,,,False
2026-05-27,10:25,55525.0,55550.0,55511.0,55530.0,8010,55354.77,55399.87,63.32,0.3166,12.82,0.582,51.63,0.35,1,0.009,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55176.25,55200,1314.5,999.25,False,,0,,,False
2026-05-27,10:30,55530.0,55545.0,55447.8,55450.0,10200,55358.8,55404.64,54.36,0.1647,82.3,0.75,52.54,-8.96,-1,-0.1441,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55122.85,55100,,,False,,0,,,False
2026-05-27,10:35,55475.0,55530.0,55451.0,55495.8,4800,55360.77,55413.33,58.02,0.2439,26.33,0.345,53.71,3.66,1,0.0826,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55128.7,55100,1349.9,978.95,False,,0,,,False
2026-05-27,10:40,55495.8,55495.8,55389.8,55429.4,7560,55362.54,55414.86,51.56,0.1208,62.64,0.591,43.3,-6.46,-1,-0.1196,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55068.9,55100,1311.25,1007.65,False,,0,,,False
2026-05-27,10:45,55429.4,55434.2,55355.0,55434.2,8400,55363.66,55416.7,51.98,0.1274,6.06,0.655,30.53,0.42,1,0.0087,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55084.0,55100,1310.5,1001.3,False,,0,,,False
2026-05-27,10:50,55434.2,55488.0,55407.0,55488.0,8670,55366.08,55423.49,56.49,0.2202,66.42,0.669,23.62,4.51,1,0.0971,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55138.85,55100,1350.0,965.0,False,,0,,,False
2026-05-27,10:55,55488.0,55511.0,55444.8,55482.0,9930,55369.21,55429.06,55.86,0.2037,9.06,0.817,24.42,-0.63,-1,-0.0108,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55124.3,55100,1346.1,969.15,False,,0,,,False
2026-05-27,11:00,55482.0,55490.8,55394.4,55399.0,2640,55369.64,55426.2,47.9,0.053,86.1,0.235,12.87,-7.96,-1,-0.1496,SIDEWAYS,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55070.1,55100,1304.75,1000.4,False,,0,,,False
2026-05-27,11:05,55416.0,55450.0,55400.0,55411.0,2310,55369.96,55424.75,49.03,0.0741,10.0,0.219,9.89,1.13,-1,0.0217,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55083.25,55100,1314.15,989.95,False,,0,,,False
2026-05-27,11:10,55411.0,55443.8,55390.0,55400.2,1710,55370.15,55422.41,48.02,0.0543,20.07,0.195,5.71,-1.01,-1,-0.0195,TRENDING,CHOP_DAY,-0.356,-0.092,False,,,NO_SIGNAL,NONE,55066.1,55100,1297.15,1005.3,False,,0,,,False
