date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-11,09:15,24006,24029.6,23943.1,23953.9,519740,23975.53,24200.87,19.08,-0.0902,False,True,True,60.23,False,False,True,0.9199,-26.0,-31.29,7.458,0.2054,-1.1462,-1,-1.1342,TRENDING,True,NO_SIGNAL,23889.25,23850,,,False,,,
date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-11,09:20,23950.7,23969.1,23931,23968,196885,23970.18,24178.69,21.77,-0.0091,False,True,True,45.41,False,False,True,0.8547,-22.18,2.69,1.731,-0.0652,0.0588,1,0.0589,TRENDING,True,NO_SIGNAL,23889.25,23850,,,False,,,
2026-05-11,09:25,23968,23980,23945.5,23975,122915,23969.69,24159.29,23.13,0.0222,False,True,False,20.29,False,True,False,0.7832,-19.4,1.36,0.953,-0.0715,0.0292,1,0.0292,SIDEWAYS,True,NO_SIGNAL,23889.25,23850,,,False,,,
2026-05-11,09:30,23975,23981.7,23935.8,23946.6,141700,23967.52,24139.03,21.49,-0.0873,False,True,False,61.87,False,True,False,0.8341,-20.26,-1.64,1.039,0.0509,-0.1185,-1,-0.1185,SIDEWAYS,True,NO_SIGNAL,23889.25,23850,,,False,,,
2026-05-11,09:35,23946.6,23946.6,23901,23905,410735,23952.77,24116.74,19.33,-0.1994,False,True,True,91.23,False,False,True,0.9228,-22.29,-2.16,2.793,0.0887,-0.1737,-1,-0.1737,TRENDING,True,NO_SIGNAL,23889.25,23850,,,False,,,
2026-05-11,09:40,23919.6,23922.0,23893.1,23893.1,46215,23951.16,24095.44,18.75,-0.2424,False,True,False,91.7,False,False,True,0.9325,-21.3,-0.58,0.253,0.0097,-0.0497,-1,-0.0498,TRENDING,True,NO_SIGNAL,23865.8,23800,145.4,158.55,False,,,
2026-05-11,09:45,23893.1,23923.9,23893.0,23910.1,109200,23948.19,24077.79,22.34,-0.1591,False,True,False,55.02,False,False,True,0.8914,-17.65,3.59,0.595,-0.0411,0.071,1,0.0712,TRENDING,True,NO_SIGNAL,23882.5,23850,180.0,124.8,False,,,
2026-05-11,09:50,23910.0,23918.0,23891.1,23915.4,96655,23945.84,24062.33,23.47,-0.1271,False,True,False,20.07,False,True,False,0.8954,-15.47,1.13,0.51,0.004,0.0221,1,0.0222,TRENDING,True,NO_SIGNAL,23892.25,23850,154.1,146.9,False,,,
2026-05-11,09:55,23915.4,23922.0,23895.0,23900.5,46735,23944.73,24046.91,22.48,-0.1847,False,True,False,55.19,False,True,False,0.9461,-15.41,-0.99,0.244,0.0507,-0.0622,-1,-0.0623,TRENDING,True,NO_SIGNAL,23874.85,23800,144.4,156.4,False,,,
