date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-04,09:05,55500.0,55500.0,55500.0,55500.0,0,,55243.58,68.43,,True,False,False,0.0,False,True,False,0.5622,26.99,8.54,0.0,0.5615,,0,0.3617,TRENDING,True,NO_SIGNAL,54956.7,55000,,,False,,,
2026-05-04,09:15,55480.0,55665.0,55420.0,55442.8,60570,55509.27,55238.13,66.38,-0.1197,True,False,True,15.18,False,True,False,0.3184,21.54,6.49,4.532,0.3177,0.2573,-1,0.2582,SIDEWAYS,True,NO_SIGNAL,55122.35,55100,,,False,,,
2026-05-04,09:20,55442.8,55544.6,55441.2,55489.4,21210,55504.72,55262.06,68.19,-0.0276,True,False,False,45.07,False,True,False,0.4572,23.93,1.81,1.148,0.1388,0.084,1,0.0841,TRENDING,True,NO_SIGNAL,55208.75,55200,,,False,,,
2026-05-04,09:25,55495.0,55651.0,55495.0,55635.8,27030,55526.88,55297.65,73.09,0.1962,True,False,True,90.26,False,True,False,0.5135,35.59,4.9,1.356,0.0563,0.2637,1,0.2638,TRENDING,True,NO_SIGNAL,55343.25,55300,,,False,,,
2026-05-04,09:30,55649.8,55779.8,55649.8,55726.2,42510,55580.74,55338.47,75.59,0.2617,True,False,True,58.77,False,True,False,0.6531,40.81,2.5,1.952,0.1396,0.1626,1,0.1625,TRENDING,True,NO_SIGNAL,55411.75,55400,,,False,,,
2026-05-04,09:35,55725.6,55825.0,55700.0,55800.0,21900,55605.3,55382.42,77.43,0.3501,True,False,False,59.52,False,True,False,0.8532,43.96,1.84,0.892,0.2001,0.1327,1,0.1324,TRENDING,True,NO_SIGNAL,55491.5,55500,,,False,,,
2026-05-04,09:40,55822.4,55915.4,55801.2,55832.4,44070,55654.86,55425.28,78.21,0.319,True,False,True,8.76,False,True,False,0.7955,42.85,0.78,1.729,-0.0577,0.0582,1,0.0581,TRENDING,True,NO_SIGNAL,55522.85,55500,1266.5,905.85,False,,,
2026-05-04,09:45,55837.4,55874.0,55760.2,55785.0,10290,55661.71,55459.54,74.18,0.2215,True,False,False,46.05,False,True,False,0.7195,34.26,-4.03,0.361,-0.076,-0.0852,-1,-0.0849,TRENDING,True,NO_SIGNAL,55461.8,55500,1227.4,933.2,False,,,
2026-05-04,09:50,55785.0,55785.0,55637.0,55667.6,14130,55663.75,55479.35,65.22,0.0069,True,False,False,79.32,False,False,True,0.59,19.82,-8.96,0.516,-0.1295,-0.2109,-1,-0.2105,TRENDING,True,NO_SIGNAL,55353.25,55400,,,False,,,
2026-05-04,09:55,55689.6,55770.0,55681.0,55751.4,13260,55667.41,55505.26,68.17,0.1509,True,False,False,69.44,False,False,True,0.6369,25.91,2.96,0.478,0.0469,0.1505,1,0.1505,TRENDING,True,NO_SIGNAL,55441.45,55400,1284.4,901.95,False,,,
