date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-21,09:15,23789.3,23789.8,23765.5,23770.0,45760,23775.1,23660.63,75.65,-0.0215,True,False,False,79.42,False,True,False,0.6225,11.51,9.36,0.865,0.1915,0.3155,-1,0.3165,TRENDING,True,NO_SIGNAL,23768.0,23750,,,False,,,
2026-05-21,09:20,23766.0,23775.0,23750.0,23765.8,117390,23766.83,23670.65,74.41,-0.0043,True,False,True,0.8,False,False,True,0.6096,10.02,-1.25,2.124,-0.0129,-0.0177,-1,-0.0177,SIDEWAYS,True,NO_SIGNAL,23775.05,23800,,,False,,,
2026-05-21,09:25,23772.3,23775.0,23740.0,23740.5,80925,23761.85,23677.3,67.22,-0.0898,True,False,True,90.86,False,False,True,0.4093,6.65,-7.18,1.255,-0.2003,-0.1065,-1,-0.1065,SIDEWAYS,True,NO_SIGNAL,23757.65,23750,,,False,,,
2026-05-21,09:30,23740.3,23772.5,23715.0,23731.0,84630,23756.1,23682.41,64.7,-0.1057,True,False,True,16.17,False,False,True,0.5683,5.11,-2.53,1.234,0.159,-0.04,-1,-0.04,SIDEWAYS,True,NO_SIGNAL,23738.15,23750,179.7,195.15,False,,,
2026-05-21,09:35,23734.0,23765.0,23725.0,23764.9,74750,23755.27,23690.27,69.15,0.0405,True,False,False,77.25,False,False,True,0.6076,7.86,4.45,1.04,0.0393,0.1427,1,0.1429,SIDEWAYS,True,NO_SIGNAL,23769.3,23750,190.05,180.65,False,,,
2026-05-21,09:40,23764.9,23780.0,23748.5,23779.9,73710,23757.46,23698.81,70.9,0.0945,True,False,False,47.62,False,True,False,0.7233,8.54,1.75,0.99,0.1157,0.0631,1,0.0631,SIDEWAYS,True,NO_SIGNAL,23793.7,23800,,,False,,,
2026-05-21,09:45,23779.9,23789.0,23765.0,23775.0,64870,23759.72,23706.06,69.51,0.0643,True,False,False,20.42,False,True,False,0.8208,7.26,-1.39,0.825,0.0975,-0.0206,-1,-0.0206,TRENDING,True,NO_SIGNAL,23785.2,23800,168.0,187.05,False,,,
2026-05-21,09:50,23775.0,23807.9,23770.0,23797.0,74035,23763.56,23714.72,72.15,0.1407,True,False,False,58.05,False,True,False,0.8058,8.66,2.63,0.907,-0.015,0.0926,1,0.0925,TRENDING,True,NO_SIGNAL,23808.7,23800,176.85,174.9,False,,,
2026-05-21,09:55,23796.0,23803.0,23755.0,23757.4,49010,23764.16,23718.79,61.8,-0.0284,True,False,False,80.42,False,False,True,0.428,4.06,-10.35,0.59,-0.3778,-0.1666,-1,-0.1664,TRENDING,True,NO_SIGNAL,23768.35,23750,,,False,,,
2026-05-21,10:00,23757.4,23785.9,23751.0,23775.0,31720,23764.46,23724.14,64.25,0.0444,True,False,False,50.43,False,True,False,0.0538,5.35,2.45,0.4,-0.3742,0.0741,1,0.0741,SIDEWAYS,True,NO_SIGNAL,23781.8,23800,,,False,,,
2026-05-21,10:05,23775.0,23775.0,23736.7,23759.0,95485,23763.55,23727.46,60.45,-0.0191,True,False,True,41.78,False,False,True,0.0732,3.32,-3.8,1.37,0.0194,-0.0673,-1,-0.0673,SIDEWAYS,True,NO_SIGNAL,23766.55,23750,,,False,,,
2026-05-21,10:10,23759.0,23765.0,23746.0,23761.9,52585,23763.18,23730.74,60.9,-0.0054,True,False,False,15.26,False,True,False,0.2304,3.28,0.45,0.704,0.1572,0.0122,1,0.0122,SIDEWAYS,True,NO_SIGNAL,23767.7,23750,182.35,170.65,False,,,
2026-05-21,10:15,23760.0,23778.5,23760.0,23762.8,31330,23763.32,23733.79,61.05,-0.0022,True,False,False,15.14,False,True,False,0.3423,3.05,0.15,0.46,0.1119,0.0038,1,0.0038,SIDEWAYS,True,NO_SIGNAL,23777.7,23800,,,False,,,
2026-05-21,10:20,23762.8,23774.0,23752.0,23752.0,33085,23763.18,23735.53,58.19,-0.047,True,False,False,49.09,False,True,False,0.1556,1.73,-2.86,0.523,-0.1867,-0.0454,-1,-0.0454,SIDEWAYS,True,NO_SIGNAL,23771.35,23750,,,False,,,
2026-05-21,10:25,23752.0,23780.0,23750.0,23774.9,41210,23763.4,23739.28,62.23,0.0484,True,False,False,76.33,False,True,False,0.0702,3.75,4.04,0.71,-0.0854,0.0964,1,0.0964,SIDEWAYS,True,NO_SIGNAL,23781.75,23800,,,False,,,
2026-05-21,10:30,23774.9,23775.0,23745.0,23745.0,20540,23763.22,23739.82,54.79,-0.0767,True,False,False,99.67,False,False,True,0.4213,0.54,-7.44,0.375,0.3511,-0.1258,-1,-0.1258,SIDEWAYS,True,NO_SIGNAL,23762.4,23750,,,False,,,
2026-05-21,10:35,23749.9,23750.0,23708.0,23723.6,63310,23761.02,23738.28,50.16,-0.1575,False,False,True,62.62,False,False,True,0.7347,-1.55,-4.62,1.282,0.3134,-0.0901,-1,-0.0901,SIDEWAYS,True,NO_SIGNAL,23736.35,23750,161.2,191.65,False,,,
2026-05-21,10:40,23723.9,23756.8,23711.7,23756.8,47840,23760.16,23740.04,56.32,-0.0141,False,False,False,72.95,False,False,True,0.0063,1.76,6.16,0.972,-0.7284,0.1397,1,0.1399,SIDEWAYS,True,NO_SIGNAL,23763.75,23750,176.95,168.35,False,,,
2026-05-21,10:45,23756.8,23763.9,23731.0,23731.0,31850,23759.64,23739.18,51.04,-0.1205,False,False,False,78.42,False,False,True,0.5648,-0.86,-5.28,0.683,0.5585,-0.1086,-1,-0.1086,TRENDING,True,NO_SIGNAL,23749.1,23750,165.9,180.85,False,,,
2026-05-21,10:50,23731.0,23744.9,23712.5,23739.9,28925,23758.96,23739.25,52.69,-0.0802,False,False,False,27.47,False,True,False,0.2653,0.07,1.65,0.644,-0.2995,0.0375,1,0.0375,SIDEWAYS,True,NO_SIGNAL,23748.8,23750,167.45,181.4,False,,,
2026-05-21,10:55,23739.9,23739.9,23700.0,23705.0,40950,23757.43,23735.99,46.13,-0.2207,False,False,False,87.47,False,False,True,0.7113,-3.26,-6.56,0.918,0.446,-0.1469,-1,-0.147,TRENDING,True,NO_SIGNAL,23725.05,23750,155.25,196.7,False,,,
2026-05-21,11:00,23705.0,23709.8,23687.2,23703.8,52780,23754.99,23732.92,45.92,-0.2155,False,False,True,5.31,False,False,True,0.6358,-3.07,-0.21,1.348,-0.0755,-0.0051,-1,-0.0051,TRENDING,True,NO_SIGNAL,23713.35,23700,,,False,,,
