date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-06-25,09:15,24132.7,24150.0,24112.5,24129.7,119600,24130.73,24070.31,66.11,-0.0043,False,False,True,8.0,False,False,True,0.629,6.25,19.34,1.539,0.4543,0.3154,-1,0.3164,TRENDING,True,NO_SIGNAL,24132.65,24150,107.45,128.3,False,,,
2026-06-25,09:20,24129.7,24160.0,24127.0,24152.8,173680,24140.13,24078.17,69.71,0.0525,True,False,True,70.0,False,False,True,0.6344,7.86,3.6,2.07,0.0054,0.0957,1,0.0957,TRENDING,True,NO_SIGNAL,24156.35,24150,119.9,111.55,False,,,
2026-06-25,09:25,24153.3,24170.0,24141.6,24145.7,125190,24143.81,24084.6,67.35,0.0078,True,False,True,26.76,False,False,True,0.5369,6.43,-2.37,1.359,-0.0975,-0.0294,-1,-0.0294,TRENDING,True,NO_SIGNAL,24149.15,24150,116.3,116.8,False,,,
2026-06-25,09:30,24145.7,24155.0,24125.5,24142.7,83720,24143.35,24090.13,66.32,-0.0027,True,False,False,10.17,False,False,True,0.5834,5.53,-1.02,0.863,0.0465,-0.0124,-1,-0.0124,SIDEWAYS,True,NO_SIGNAL,24143.25,24150,110.45,119.95,False,,,
2026-06-25,09:35,24142.7,24150.0,24133.6,24147.0,44655,24143.37,24095.55,67.09,0.015,True,False,False,26.22,False,False,True,0.6312,5.42,0.77,0.452,0.0478,0.0178,1,0.0178,SIDEWAYS,True,NO_SIGNAL,24145.6,24150,110.85,115.6,False,,,
2026-06-25,09:40,24150.0,24152.5,24129.7,24144.0,60840,24143.24,24100.16,65.96,0.0031,True,False,False,26.32,False,False,True,0.7115,4.61,-1.14,0.636,0.0803,-0.0124,-1,-0.0124,SIDEWAYS,True,NO_SIGNAL,24141.25,24150,109.8,115.45,False,,,
2026-06-25,09:45,24144.0,24172.0,24142.8,24172.0,106080,24146.07,24107.0,70.91,0.1074,True,False,False,95.89,False,True,False,0.8613,6.84,4.96,1.122,0.1498,0.116,1,0.116,SIDEWAYS,True,NO_SIGNAL,24165.85,24150,122.4,100.6,False,,,
2026-06-25,09:50,24172.0,24199.0,24165.4,24186.5,123500,24151.61,24114.58,73.1,0.1445,True,False,True,43.15,False,True,False,0.7642,7.57,2.18,1.289,-0.0971,0.06,1,0.06,TRENDING,True,NO_SIGNAL,24172.35,24150,131.0,96.0,False,,,
2026-06-25,09:55,24190.0,24193.0,24183.0,24186.5,51350,24153.68,24121.43,73.1,0.1359,True,False,False,35.0,False,True,False,0.8919,6.85,0.0,0.516,0.1277,0.0,-1,0.0,TRENDING,True,NO_SIGNAL,24176.65,24200,131.15,96.1,False,,,
2026-06-25,10:00,24185.0,24189.5,24172.7,24183.5,68380,24155.7,24127.34,71.8,0.1151,True,False,False,8.93,False,False,True,0.622,5.91,-1.29,0.705,-0.2699,-0.0124,-1,-0.0124,TRENDING,True,NO_SIGNAL,24178.15,24200,103.5,118.55,False,,,
2026-06-25,10:05,24186.0,24189.5,24170.0,24175.0,60580,24157.04,24131.88,68.12,0.0743,True,False,False,56.41,False,False,True,0.302,4.54,-3.68,0.633,-0.32,-0.0352,-1,-0.0351,SIDEWAYS,True,NO_SIGNAL,24167.8,24150,97.35,124.4,False,,,
2026-06-25,10:10,24175.0,24194.8,24168.5,24194.4,50635,24158.4,24137.83,71.69,0.149,True,False,False,73.76,False,False,True,0.6626,5.95,3.57,0.564,0.3606,0.0803,1,0.0802,TRENDING,True,NO_SIGNAL,24184.1,24200,133.8,90.35,False,,,
2026-06-25,10:15,24194.9,24200.0,24181.5,24195.0,84240,24160.87,24143.28,71.79,0.1413,True,False,False,0.54,False,True,False,0.702,5.44,0.11,1.087,0.0394,0.0025,1,0.0025,TRENDING,True,NO_SIGNAL,24178.9,24200,102.15,116.05,False,,,
2026-06-25,10:20,24188.0,24192.7,24181.0,24183.5,43940,24161.78,24147.11,66.69,0.0899,True,False,False,38.46,False,True,False,0.5192,3.83,-5.11,0.599,-0.1828,-0.0476,-1,-0.0475,TRENDING,True,NO_SIGNAL,24171.2,24150,99.3,119.25,False,,,
2026-06-25,10:25,24183.9,24193.0,24183.0,24183.1,42380,24162.63,24150.53,66.51,0.0847,True,False,False,8.0,False,False,True,0.5562,3.43,-0.18,0.61,0.037,-0.0017,-1,-0.0017,TRENDING,True,NO_SIGNAL,24172.3,24150,124.95,96.0,False,,,
2026-06-25,10:30,24183.1,24194.0,24183.0,24183.0,42705,24163.43,24153.63,66.46,0.081,True,False,False,0.91,False,False,True,0.1923,3.09,-0.05,0.617,-0.3639,-0.0004,-1,-0.0004,SIDEWAYS,True,NO_SIGNAL,24172.85,24150,126.1,94.8,False,,,
2026-06-25,10:35,24183.0,24190.0,24180.0,24185.0,34970,24164.0,24156.61,66.97,0.0869,True,False,False,20.0,False,False,True,0.0434,2.99,0.51,0.519,-0.1489,0.0083,1,0.0083,SIDEWAYS,True,NO_SIGNAL,24172.45,24150,124.9,96.05,False,,,
2026-06-25,10:40,24185.0,24192.0,24180.5,24191.0,68445,24165.18,24159.89,68.51,0.1068,True,False,False,52.17,False,True,False,0.1429,3.27,1.54,1.136,0.0995,0.0248,1,0.0248,SIDEWAYS,True,NO_SIGNAL,24184.1,24200,130.5,89.85,False,,,
2026-06-25,10:45,24191.0,24210.0,24191.0,24205.0,116415,24168.03,24164.19,71.82,0.153,True,False,True,73.68,False,True,False,0.5181,4.3,3.31,2.126,0.3752,0.0579,1,0.0579,TRENDING,True,BUY_CE,24198.8,24200,109.7,105.1,False,,,
2026-06-25,10:50,24205.0,24210.0,24190.0,24190.0,56485,24169.07,24166.64,64.06,0.0866,True,False,False,75.0,False,True,False,0.3614,2.46,-7.77,0.922,-0.1567,-0.0621,-1,-0.062,SIDEWAYS,True,NO_SIGNAL,24181.6,24200,100.3,113.95,True,CE,109.7,100.3
2026-06-25,10:55,24190.0,24203.7,24190.0,24203.7,50375,24170.01,24170.17,67.51,0.1394,True,False,False,100.0,False,True,False,0.2241,3.53,3.46,0.838,-0.1373,0.0567,1,0.0566,SIDEWAYS,True,NO_SIGNAL,24198.55,24200,109.5,105.2,True,CE,109.7,109.5
2026-06-25,11:00,24203.7,24205.0,24188.4,24194.6,40105,24170.65,24172.5,63.17,0.0991,True,False,False,54.82,False,False,True,0.0133,2.33,-4.34,0.679,-0.2108,-0.0376,-1,-0.0376,SIDEWAYS,True,NO_SIGNAL,24183.55,24200,102.9,111.75,True,CE,109.7,102.9
2026-06-25,11:05,24194.6,24198.1,24187.0,24197.5,41210,24171.22,24174.88,63.96,0.1087,True,False,False,26.13,False,True,False,0.4667,2.38,0.8,0.71,0.4534,0.012,1,0.012,TRENDING,True,NO_SIGNAL,24189.5,24200,105.1,109.45,True,CE,109.7,105.1
2026-06-25,11:10,24197.5,24205.0,24195.3,24204.9,56680,24172.21,24177.74,65.98,0.1352,True,False,False,76.29,False,True,False,0.7267,2.86,2.02,1.055,0.26,0.0306,1,0.0306,TRENDING,True,NO_SIGNAL,24195.9,24200,108.5,105.15,True,CE,109.7,108.5
2026-06-25,11:15,24204.9,24215.0,24201.9,24205.5,51350,24173.22,24180.38,66.15,0.1335,True,False,False,4.58,False,True,False,0.6429,2.64,0.17,0.934,-0.0838,0.0025,1,0.0025,TRENDING,True,NO_SIGNAL,24196.15,24200,113.25,105.35,True,CE,109.7,113.25
2026-06-25,11:20,24205.5,24215.0,24203.5,24207.1,56095,24174.29,24182.93,66.62,0.1357,True,False,False,13.91,False,True,False,0.6314,2.54,0.47,1.004,-0.0115,0.0066,1,0.0066,TRENDING,True,NO_SIGNAL,24191.7,24200,110.0,107.2,True,CE,109.7,110.0
