date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-04,09:05,24221.0,24221.0,24221.0,24221.0,0,,24104.15,72.55,,True,False,False,0.0,False,True,False,0.8112,12.3,10.49,0.0,0.6869,,0,0.3938,TRENDING,True,NO_SIGNAL,24063.55,24050,,,False,,,
2026-05-04,09:15,24240.3,24345.0,24240.3,24279.0,386295,24288.1,24109.67,76.51,-0.0375,True,False,True,36.96,False,True,False,0.6613,17.82,14.45,3.088,0.537,0.6299,1,0.6342,TRENDING,True,NO_SIGNAL,24179.95,24200,,,False,,,
2026-05-04,09:20,24284.9,24310.0,24263.0,24277.9,165880,24286.76,24125.69,76.29,-0.0365,True,False,False,14.89,False,True,False,0.6863,16.02,-0.23,1.119,0.025,-0.0045,-1,-0.0045,TRENDING,True,NO_SIGNAL,24182.4,24200,146.25,116.0,False,,,
2026-05-04,09:25,24277.1,24317.0,24277.0,24314.9,118105,24289.61,24143.71,78.57,0.1041,True,False,False,94.5,False,True,False,0.7109,18.02,2.28,0.779,0.0246,0.1523,1,0.1524,TRENDING,True,NO_SIGNAL,24218.45,24200,160.75,97.05,False,,,
2026-05-04,09:30,24317.5,24325.0,24263.4,24319.1,165620,24292.17,24160.42,78.82,0.1109,True,False,False,2.6,False,True,False,0.8092,16.7,0.25,1.056,0.0983,0.0173,1,0.0173,TRENDING,True,NO_SIGNAL,24232.8,24250,,,False,,,
2026-05-04,09:35,24317.6,24360.0,24314.2,24360.0,226655,24303.38,24179.42,81.12,0.233,True,False,True,92.58,False,True,False,0.9789,19.01,2.3,1.373,0.1697,0.1683,1,0.1682,TRENDING,True,NO_SIGNAL,24263.2,24250,143.7,95.2,False,,,
2026-05-04,09:40,24358.0,24375.0,24350.0,24370.0,122460,24309.75,24197.57,81.65,0.2478,True,False,False,48.0,False,True,False,0.9086,18.15,0.53,0.703,-0.0703,0.0411,1,0.0411,TRENDING,True,NO_SIGNAL,24280.3,24300,,,False,,,
2026-05-04,09:45,24375.0,24377.2,24350.7,24360.0,95745,24313.7,24213.04,79.27,0.1904,True,False,False,56.6,False,True,False,0.869,15.47,-2.38,0.549,-0.0396,-0.0411,-1,-0.041,TRENDING,True,NO_SIGNAL,24271.35,24250,,,False,,,
2026-05-04,09:50,24357.3,24365.0,24310.1,24320.0,70135,24314.64,24223.23,70.44,0.022,True,False,False,67.94,False,False,True,0.7368,10.19,-8.83,0.405,-0.1322,-0.1645,-1,-0.1642,TRENDING,True,NO_SIGNAL,24234.8,24250,130.2,106.8,False,,,
2026-05-04,09:55,24321.0,24340.0,24313.5,24338.0,39715,24315.09,24234.16,71.96,0.0942,True,False,False,64.15,False,False,True,0.7832,10.93,1.51,0.235,0.0464,0.074,1,0.074,TRENDING,True,NO_SIGNAL,24247.25,24250,137.3,100.0,False,,,
2026-05-04,10:00,24335.6,24352.0,24301.0,24318.2,56745,24315.43,24242.16,67.84,0.0114,True,False,False,34.12,False,False,True,0.2863,8.0,-4.12,0.356,-0.4969,-0.0814,-1,-0.0814,SIDEWAYS,True,NO_SIGNAL,24221.9,24200,,,False,,,
