date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,candle_direction,or_high,or_low,orb_used,signal_v2,model_v2,skip_reason,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price,trail_active,breakeven_set
2026-06-18,09:15,24124.0,24138.8,24075.3,24092.7,124085,24102.27,24075.66,63.08,-0.0397,49.29,-1,,,False,NO_SIGNAL,NONE,market is sideways,24083.1,24100,121.55,145.7,False,,,,False,False
2026-06-18,09:20,24102.9,24116.0,24090.0,24108.0,66040,24103.1,24078.74,67.92,0.0203,19.62,1,,,False,NO_SIGNAL,NONE,low volume — no participation,24093.05,24100,124.25,141.0,False,,,,False,False
2026-06-18,09:25,24108.0,24113.0,24091.9,24106.0,56095,24103.22,24081.34,66.69,0.0115,9.48,-1,,,False,NO_SIGNAL,NONE,market is sideways,24090.25,24100,122.2,141.85,False,,,,False,False
2026-06-18,09:30,24107.0,24110.0,24090.0,24091.0,27040,24102.61,24082.26,58.17,-0.0482,80.0,-1,,,False,NO_SIGNAL,NONE,market is sideways,24085.1,24100,119.3,147.25,False,,,,False,False
2026-06-18,09:35,24091.0,24093.2,24071.6,24093.0,42705,24100.35,24083.28,58.93,-0.0305,9.26,1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24085.65,24100,120.35,145.0,False,,,,False,False
2026-06-18,09:40,24090.0,24125.0,24088.7,24122.9,45695,24101.85,24087.06,68.16,0.0873,90.63,1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24109.1,24100,130.65,131.25,False,,,,False,False
2026-06-18,09:45,24117.6,24145.0,24116.0,24145.0,70265,24107.3,24092.57,72.99,0.1564,94.48,1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24127.05,24150,,,False,,,,False,False
2026-06-18,09:50,24145.0,24152.4,24128.7,24149.9,102895,24114.29,24098.03,73.93,0.1477,20.68,1,24138.8,24075.3,False,NO_SIGNAL,NONE,too close to VWAP,24136.45,24150,118.6,144.05,False,,,,False,False
2026-06-18,09:55,24149.9,24153.9,24133.5,24135.0,43160,24116.27,24101.55,66.34,0.0777,73.04,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24123.2,24100,,,False,,,,False,False
2026-06-18,10:00,24135.0,24145.7,24120.6,24123.0,59930,24117.54,24103.6,60.91,0.0226,47.81,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24115.5,24100,131.55,125.35,False,,,,False,False
2026-06-18,10:05,24123.0,24142.0,24120.0,24142.0,36205,24118.46,24107.25,65.7,0.0976,86.36,1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24127.8,24150,,,False,,,,False,False
2026-06-18,10:10,24142.0,24145.8,24123.7,24135.4,26195,24119.08,24109.93,62.82,0.0677,29.86,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24125.6,24150,108.3,150.8,False,,,,False,False
2026-06-18,10:15,24135.4,24139.4,24114.0,24120.0,28145,24119.29,24110.89,56.59,0.0029,60.63,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24113.8,24100,,,False,,,,False,False
2026-06-18,10:20,24120.0,24127.8,24115.0,24120.0,16510,24119.32,24111.76,56.59,0.0028,0.0,0,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24115.45,24100,127.7,126.95,False,,,,False,False
2026-06-18,10:25,24120.0,24124.2,24111.0,24121.2,17810,24119.31,24112.66,56.98,0.0078,9.09,1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24109.4,24100,125.05,129.4,False,,,,False,False
2026-06-18,10:30,24116.1,24122.0,24106.0,24120.0,36725,24119.16,24113.36,56.44,0.0035,24.38,1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24111.55,24100,126.8,127.65,False,,,,False,False
2026-06-18,10:35,24120.0,24122.2,24085.0,24085.0,39325,24118.14,24110.66,43.5,-0.1374,94.09,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24079.45,24100,109.35,148.1,False,,,,False,False
2026-06-18,10:40,24085.0,24090.0,24060.1,24080.0,94055,24113.96,24107.74,42.01,-0.1408,16.72,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,too close to VWAP,24077.2,24100,109.3,150.55,False,,,,False,False
2026-06-18,10:45,24080.0,24095.0,24079.4,24079.4,17615,24113.42,24105.04,41.83,-0.1411,3.85,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24074.5,24050,,,False,,,,False,False
2026-06-18,10:50,24079.4,24092.0,24075.0,24089.5,14885,24112.99,24103.56,46.11,-0.0974,59.41,1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24084.95,24100,,,False,,,,False,False
2026-06-18,10:55,24089.5,24099.0,24085.0,24096.7,24245,24112.51,24102.91,49.0,-0.0656,51.43,1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24092.6,24100,115.45,141.05,False,,,,False,False
2026-06-18,11:00,24099.0,24099.0,24085.0,24092.6,7930,24112.35,24101.92,47.44,-0.0819,45.71,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,market is sideways,24085.15,24100,112.2,144.8,False,,,,False,False
2026-06-18,11:05,24092.6,24092.6,24080.3,24090.0,10985,24112.08,24100.79,46.43,-0.0916,21.14,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24079.25,24100,110.95,147.7,False,,,,False,False
2026-06-18,11:10,24090.0,24090.0,24065.0,24066.3,25480,24111.14,24097.5,38.42,-0.186,94.8,-1,24138.8,24075.3,False,NO_SIGNAL,NONE,low volume — no participation,24066.25,24050,,,False,,,,False,False
