date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-06-30,09:15,24005.1,24025.0,23946.1,23950.0,80080,23973.7,23970.02,42.59,-0.0989,False,False,False,69.84,False,False,True,0.4765,-2.11,-7.08,1.076,0.2337,-0.0876,-1,-0.0876,SIDEWAYS,True,NO_SIGNAL,23939.4,23950,164.05,189.0,False,,,
2026-06-30,09:20,23950.0,23957.0,23911.1,23916.6,70980,23952.34,23964.94,34.23,-0.1492,False,False,False,72.77,False,False,True,0.4205,-5.09,-8.36,0.916,-0.056,-0.1394,-1,-0.1395,TRENDING,True,NO_SIGNAL,23901.2,23900,177.75,189.2,False,,,
2026-06-30,09:25,23920.0,23925.0,23907.8,23915.0,71045,23940.69,23960.18,33.89,-0.1073,False,True,False,29.07,False,False,True,0.3294,-4.76,-0.34,0.919,-0.0911,-0.0067,-1,-0.0067,SIDEWAYS,True,NO_SIGNAL,23897.25,23900,203.75,169.3,False,,,
2026-06-30,09:30,23915.0,23915.0,23879.2,23887.5,105885,23925.59,23953.26,28.58,-0.1592,False,True,True,76.82,False,False,True,0.5316,-6.92,-5.3,1.394,0.2022,-0.1149,-1,-0.115,TRENDING,True,NO_SIGNAL,23871.7,23850,194.0,182.4,False,,,
2026-06-30,09:35,23890.0,23907.3,23885.0,23890.1,43745,23921.88,23947.24,29.7,-0.1328,False,True,False,0.45,False,False,True,0.5713,-6.02,1.12,0.574,0.0397,0.0109,1,0.0109,TRENDING,True,NO_SIGNAL,23875.1,23900,222.0,159.9,False,,,
2026-06-30,09:40,23890.1,23900.0,23878.0,23880.7,41665,23918.29,23940.91,27.99,-0.1572,False,True,False,42.73,False,False,True,0.5381,-6.34,-1.71,0.576,-0.0332,-0.0393,-1,-0.0393,TRENDING,True,NO_SIGNAL,23870.3,23850,193.35,184.4,False,,,
2026-06-30,09:45,23880.7,23889.0,23866.0,23866.0,54405,23913.1,23933.77,25.52,-0.197,False,True,False,63.91,False,False,True,0.6855,-7.13,-2.47,0.799,0.1474,-0.0615,-1,-0.0616,TRENDING,True,NO_SIGNAL,23857.0,23850,213.65,166.35,False,,,
2026-06-30,09:50,23868.6,23889.0,23866.0,23885.0,41860,23910.38,23929.13,33.68,-0.1061,False,True,False,71.3,False,False,True,0.5428,-4.64,8.16,0.618,-0.1427,0.0795,1,0.0796,TRENDING,True,NO_SIGNAL,23865.15,23850,219.4,162.4,False,,,
2026-06-30,09:55,23885.0,23905.9,23875.9,23892.9,62530,23908.33,23925.68,36.78,-0.0645,False,True,False,26.33,False,True,False,0.4912,-3.45,3.1,0.935,-0.0516,0.033,1,0.0331,TRENDING,True,NO_SIGNAL,23881.1,23900,225.55,152.8,False,,,
2026-06-30,10:00,23900.0,23930.0,23892.9,23930.0,60970,23909.22,23926.09,48.87,0.0869,False,True,False,80.86,False,True,False,0.1258,0.41,12.09,0.913,-0.3654,0.1552,1,0.1553,SIDEWAYS,True,NO_SIGNAL,23914.95,23900,210.0,154.75,False,,,
2026-06-30,10:05,23931.0,23932.0,23885.0,23889.1,37440,23908.82,23922.57,39.83,-0.0825,False,True,False,89.15,False,True,False,0.3022,-3.52,-9.04,0.591,0.1764,-0.1711,-1,-0.1709,SIDEWAYS,True,NO_SIGNAL,23874.2,23850,191.0,179.4,False,,,
2026-06-30,10:10,23889.1,23912.0,23881.9,23900.0,41795,23908.18,23920.42,42.86,-0.0342,False,True,False,36.21,False,True,False,0.2273,-2.15,3.03,0.708,-0.0749,0.0456,1,0.0456,SIDEWAYS,True,NO_SIGNAL,23889.6,23900,225.95,147.3,False,,,
2026-06-30,10:15,23900.0,23913.7,23890.6,23908.5,34385,23908.0,23919.28,45.18,0.0021,False,True,False,36.8,False,True,False,0.3182,-1.13,2.32,0.613,0.0909,0.0356,1,0.0356,SIDEWAYS,True,NO_SIGNAL,23890.95,23900,199.85,170.25,False,,,
2026-06-30,10:20,23908.5,23908.5,23882.0,23902.0,30940,23907.59,23917.64,43.72,-0.0234,False,True,False,24.53,False,True,False,0.1803,-1.65,-1.46,0.59,-0.1379,-0.0272,-1,-0.0272,SIDEWAYS,True,NO_SIGNAL,23892.15,23900,199.45,168.1,False,,,
