date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,candle_direction,or_high,or_low,orb_used,signal_v2,model_v2,skip_reason,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price,trail_active,breakeven_set
2026-07-06,09:15,24351.1,24410.1,24330.0,24404.8,127010,24381.63,24360.4,63.15,0.095,67.04,1,,,False,NO_SIGNAL,NONE,too close to VWAP,24355.85,24350,,,False,,,,False,False
2026-07-06,09:20,24404.8,24410.0,24390.0,24404.1,67795,24388.5,24364.56,62.83,0.064,3.5,-1,,,False,NO_SIGNAL,NONE,too close to VWAP,24344.25,24350,68.35,77.0,False,,,,False,False
2026-07-06,09:25,24404.1,24410.0,24392.0,24408.4,39520,24391.02,24368.74,64.04,0.0713,23.89,1,,,False,NO_SIGNAL,NONE,low volume — no participation,24352.95,24350,71.2,74.4,False,,,,False,False
2026-07-06,09:30,24408.4,24429.0,24408.4,24428.0,48620,24396.31,24374.38,68.98,0.1299,95.15,1,,,False,NO_SIGNAL,NONE,low volume — no participation,24369.1,24350,79.65,65.4,False,,,,False,False
2026-07-06,09:35,24428.0,24442.6,24423.0,24430.0,53365,24401.95,24379.68,69.44,0.1149,10.2,1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24372.6,24350,80.9,63.3,False,,,,False,False
2026-07-06,09:40,24430.0,24434.0,24424.4,24428.0,37570,24404.65,24384.28,68.35,0.0957,20.83,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24368.75,24350,79.05,64.2,False,,,,False,False
2026-07-06,09:45,24424.5,24450.0,24424.5,24444.0,78455,24410.7,24389.97,72.13,0.1364,76.47,1,24429.0,24330.0,False,NO_SIGNAL,NONE,too close to VWAP,24381.7,24400,,,False,,,,False,False
2026-07-06,09:50,24444.0,24452.0,24438.0,24439.0,82810,24415.7,24394.64,69.34,0.0954,35.71,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,too close to VWAP,24381.75,24400,62.95,81.25,False,,,,False,False
2026-07-06,09:55,24439.0,24449.8,24433.2,24447.0,48555,24417.99,24399.62,71.26,0.1188,48.19,1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24384.45,24400,63.4,80.4,False,,,,False,False
2026-07-06,10:00,24449.7,24452.9,24440.0,24441.5,34645,24419.5,24403.61,68.11,0.0901,63.57,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,market is sideways,24382.85,24400,61.8,81.6,False,,,,False,False
2026-07-06,10:05,24444.0,24445.1,24433.4,24440.0,25350,24420.28,24407.08,67.23,0.0808,34.19,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24383.65,24400,61.25,82.25,False,,,,False,False
2026-07-06,10:10,24441.0,24441.8,24427.3,24430.6,25545,24420.78,24409.32,61.88,0.0402,71.72,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,market is sideways,24370.6,24350,,,False,,,,False,False
2026-07-06,10:15,24432.0,24448.0,24430.6,24447.0,18785,24421.35,24412.91,66.84,0.105,86.21,1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24391.35,24400,,,False,,,,False,False
2026-07-06,10:20,24447.0,24470.0,24447.0,24462.0,80340,24425.36,24417.58,70.61,0.15,65.22,1,24429.0,24330.0,False,BUY_CE,V1_BREAKOUT,,24397.45,24400,70.7,73.7,False,,,,False,False
2026-07-06,10:25,24460.0,24475.0,24460.0,24472.0,102700,24430.51,24422.76,72.82,0.1698,80.0,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24405.95,24400,74.2,71.1,True,CE,70.7,74.2,False,False
2026-07-06,10:30,24472.1,24473.7,24463.0,24467.0,28275,24431.68,24426.98,69.98,0.1446,47.66,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24402.8,24400,71.2,72.65,True,CE,70.7,71.2,False,False
2026-07-06,10:35,24469.0,24469.0,24451.1,24454.3,30940,24432.56,24429.58,63.23,0.089,82.12,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24395.0,24400,66.2,76.2,True,CE,70.7,66.2,False,False
2026-07-06,10:40,24454.3,24467.0,24451.0,24464.0,14495,24432.99,24432.86,65.93,0.1269,60.63,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24403.8,24400,71.05,72.05,True,CE,70.7,71.05,False,False
2026-07-06,10:45,24464.0,24475.0,24459.5,24474.9,23400,24433.88,24436.86,68.72,0.1679,70.32,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24416.25,24400,77.2,66.4,True,CE,70.7,77.2,False,False
2026-07-06,10:50,24474.9,24479.0,24463.2,24465.2,28080,24434.88,24439.56,63.73,0.1241,61.39,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24413.95,24400,73.2,68.55,True,CE,70.7,73.2,False,False
2026-07-06,10:55,24465.2,24478.8,24461.6,24478.8,22815,24435.73,24443.3,67.31,0.1763,79.07,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24424.4,24400,78.4,65.4,True,CE,70.7,78.4,False,False
2026-07-06,11:00,24478.8,24480.5,24466.1,24470.9,31850,24436.84,24445.93,63.39,0.1394,54.86,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24418.9,24400,75.7,66.8,True,CE,70.7,75.7,False,False
2026-07-06,11:05,24470.9,24476.0,24469.4,24472.0,10075,24437.18,24448.41,63.71,0.1425,16.67,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24413.3,24400,72.95,68.65,True,CE,70.7,72.95,False,False
2026-07-06,11:10,24472.0,24475.0,24466.6,24471.6,12415,24437.57,24450.62,63.5,0.1393,4.76,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24416.3,24400,72.9,68.55,True,CE,70.7,72.9,False,False
2026-07-06,11:15,24471.6,24471.6,24459.6,24459.7,11700,24437.86,24451.48,57.3,0.0894,99.17,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24405.55,24400,69.3,71.85,True,CE,70.7,69.3,False,False
2026-07-06,11:20,24459.7,24475.0,24458.0,24472.1,17290,24438.33,24453.45,61.51,0.1382,72.94,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24424.05,24400,76.8,65.85,True,CE,70.7,76.8,False,False
2026-07-06,11:25,24472.1,24479.2,24471.1,24475.0,11440,24438.71,24455.5,62.45,0.1485,35.8,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24419.2,24400,74.4,67.25,True,CE,70.7,74.4,False,False
2026-07-06,11:30,24475.0,24479.0,24472.4,24474.8,13195,24439.14,24457.34,62.33,0.1459,3.03,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24419.5,24400,73.95,67.95,True,CE,70.7,73.95,False,False
2026-07-06,11:35,24474.8,24474.8,24470.0,24474.0,10985,24439.47,24458.92,61.86,0.1413,16.67,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24419.65,24400,73.15,68.4,True,CE,70.7,73.15,False,False
2026-07-06,11:40,24474.3,24474.4,24467.0,24471.9,9555,24439.73,24460.16,60.54,0.1316,32.43,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24417.0,24400,72.35,68.25,True,CE,70.7,72.35,False,False
2026-07-06,11:45,24471.9,24475.0,24467.2,24474.9,8060,24439.96,24461.56,61.79,0.143,38.46,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24419.9,24400,73.7,67.7,True,CE,70.7,73.7,False,False
2026-07-06,11:50,24474.9,24475.0,24460.0,24465.0,14625,24440.29,24461.89,55.53,0.1011,66.0,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24415.2,24400,72.45,68.75,True,CE,70.7,72.45,False,False
2026-07-06,11:55,24465.0,24478.8,24465.0,24476.2,10985,24440.6,24463.25,60.42,0.1457,81.16,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24424.75,24400,77.35,64.3,True,CE,70.7,77.35,False,False
2026-07-06,12:00,24476.1,24489.0,24473.8,24481.1,48750,24442.21,24464.95,62.36,0.1591,32.89,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24427.75,24400,82.25,62.05,True,CE,70.7,82.25,False,False
2026-07-06,12:05,24481.1,24482.9,24477.6,24479.1,30550,24443.13,24466.3,61.04,0.1472,37.74,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24430.1,24400,81.7,62.05,True,CE,70.7,81.7,True,False
2026-07-06,12:10,24480.4,24505.0,24477.6,24501.3,86450,24446.43,24469.63,68.91,0.2244,76.28,1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24443.0,24400,91.95,57.3,True,CE,70.7,91.95,True,False
2026-07-06,12:15,24500.0,24503.0,24494.4,24494.4,28535,24447.49,24471.99,64.55,0.1919,65.12,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24442.1,24400,89.3,58.45,True,CE,70.7,89.3,True,False
2026-07-06,12:20,24494.4,24500.0,24486.8,24496.0,23465,24448.27,24474.28,65.1,0.1952,12.12,1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24440.4,24450,,,False,,,,False,False
2026-07-06,12:25,24496.0,24500.0,24485.9,24494.0,22490,24448.98,24476.16,63.76,0.1841,14.18,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,low volume — no participation,24440.1,24450,59.45,81.95,False,,,,False,False
2026-07-06,12:30,24494.0,24509.6,24488.5,24509.3,43485,24450.57,24479.31,69.0,0.2402,72.51,1,24429.0,24330.0,False,BUY_CE,V1_BREAKOUT,,24449.15,24450,66.1,75.0,False,,,,False,False
2026-07-06,12:35,24509.3,24510.0,24499.5,24499.5,39780,24451.96,24481.24,62.74,0.1944,93.33,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24439.85,24450,60.8,79.55,True,CE,66.1,60.8,False,False
2026-07-06,12:40,24499.5,24500.0,24493.4,24498.0,48100,24453.36,24482.83,61.82,0.1826,22.73,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24443.9,24450,61.05,79.1,True,CE,66.1,61.05,False,False
2026-07-06,12:45,24498.0,24500.0,24490.9,24493.9,45825,24454.55,24483.89,59.25,0.1609,45.05,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,,24437.25,24450,58.3,80.45,True,CE,66.1,58.3,False,False
2026-07-06,12:50,24493.9,24497.0,24481.8,24482.7,50115,24455.54,24483.77,52.8,0.1111,73.68,-1,24429.0,24330.0,False,NO_SIGNAL,NONE,market is sideways,24430.05,24450,53.8,84.0,False,,,,False,False
