date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-05,09:15,54745.0,54884.8,54739.4,54870.0,37440,54831.4,55117.39,32.42,0.0704,False,True,True,85.97,False,False,True,0.4812,-26.04,-12.72,3.531,0.3005,-0.4195,1,-0.4174,TRENDING,True,NO_SIGNAL,54618.1,54600,,,False,,,
2026-05-05,09:20,54870.0,54908.0,54774.0,54888.0,30720,54842.79,55095.54,33.99,0.0824,False,True,True,13.43,False,True,False,0.4551,-21.85,1.57,2.223,-0.0261,0.0328,1,0.0328,TRENDING,True,NO_SIGNAL,54619.2,54600,1249.15,983.7,False,,,
2026-05-05,09:25,54884.2,54884.2,54751.0,54785.2,17760,54835.35,55065.98,29.74,-0.0915,False,True,False,74.32,False,True,False,0.5016,-29.56,-4.24,1.082,0.0465,-0.1875,-1,-0.1873,TRENDING,True,NO_SIGNAL,54528.65,54500,,,False,,,
2026-05-05,09:30,54785.2,54908.0,54780.8,54889.8,8760,54837.59,55049.2,38.2,0.0952,False,True,False,82.23,False,True,False,0.4555,-16.78,8.45,0.492,-0.0461,0.1907,1,0.1909,SIDEWAYS,True,NO_SIGNAL,54618.35,54600,,,False,,,
2026-05-05,09:35,54889.8,54922.0,54800.0,54801.0,13920,54838.02,55025.57,34.41,-0.0675,False,True,False,72.79,False,False,True,0.7327,-23.64,-3.79,0.768,0.2772,-0.1619,-1,-0.1618,SIDEWAYS,True,NO_SIGNAL,54542.05,54500,,,False,,,
2026-05-05,09:40,54800.8,54838.6,54751.0,54818.4,9180,54835.27,55005.84,35.76,-0.0308,False,True,False,20.09,False,True,False,0.7327,-19.73,1.34,0.494,0.0,0.0317,1,0.0318,SIDEWAYS,True,NO_SIGNAL,54556.1,54600,,,False,,,
2026-05-05,09:45,54818.4,54884.6,54787.2,54880.0,3750,54835.74,54993.85,40.41,0.0807,False,True,False,63.24,False,True,False,0.6587,-11.98,4.65,0.202,-0.074,0.1123,1,0.1124,SIDEWAYS,True,NO_SIGNAL,54622.8,54600,1228.4,967.05,False,,,
2026-05-05,09:50,54880.0,54910.0,54825.0,54856.4,4440,54836.73,54980.76,39.24,0.0359,False,True,False,27.76,False,True,False,0.6471,-13.09,-1.17,0.256,-0.0116,-0.043,-1,-0.043,SIDEWAYS,True,NO_SIGNAL,54641.65,54600,1235.1,954.9,False,,,
2026-05-05,09:55,54889.8,54945.2,54881.8,54935.8,7830,54841.66,54976.48,45.02,0.1717,False,True,False,72.56,False,True,False,0.3612,-4.28,5.78,0.457,-0.2859,0.1448,1,0.1447,SIDEWAYS,True,NO_SIGNAL,54667.65,54700,,,False,,,
2026-05-05,10:00,54935.8,54945.0,54820.0,54857.6,6150,54843.09,54965.16,40.89,0.0265,False,True,False,62.56,False,False,True,0.0603,-11.32,-4.13,0.37,-0.3009,-0.1426,-1,-0.1423,SIDEWAYS,True,NO_SIGNAL,54598.8,54600,,,False,,,
