date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,body_pct,candle_direction,or_high,or_low,orb_used,signal_v2,model_v2,skip_reason,spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price,trail_active,breakeven_set
2026-06-23,09:15,24090.0,24103.1,24070.0,24095.5,112190,24089.53,24133.93,29.21,0.0248,16.62,1,,,False,NO_SIGNAL,NONE,too close to VWAP,24076.05,24100,,,False,,,,False,False
2026-06-23,09:20,24095.5,24110.0,24091.3,24104.8,59605,24093.87,24131.15,34.98,0.0454,49.73,1,,,False,NO_SIGNAL,NONE,low volume — no participation,24087.2,24100,143.0,147.4,False,,,,False,False
2026-06-23,09:25,24104.8,24107.8,24095.1,24100.0,27885,24094.86,24128.18,33.47,0.0213,37.8,-1,,,False,NO_SIGNAL,NONE,low volume — no participation,24089.85,24100,143.85,142.05,False,,,,False,False
2026-06-23,09:30,24107.0,24120.0,24100.0,24119.6,36530,24097.7,24127.37,44.12,0.0909,63.0,1,,,False,NO_SIGNAL,NONE,market is sideways,24102.95,24100,147.45,135.1,False,,,,False,False
2026-06-23,09:35,24119.6,24138.0,24111.1,24138.0,56225,24103.72,24128.38,51.91,0.1422,68.4,1,24120.0,24070.0,False,NO_SIGNAL,NONE,market is sideways,24124.9,24100,159.8,126.05,False,,,,False,False
2026-06-23,09:40,24138.0,24145.0,24125.2,24135.0,31525,24106.77,24129.01,50.67,0.1171,15.15,-1,24120.0,24070.0,False,NO_SIGNAL,NONE,market is sideways,24114.7,24100,155.95,129.55,False,,,,False,False
2026-06-23,09:45,24135.0,24144.2,24130.0,24140.0,53690,24111.22,24130.06,52.7,0.1194,35.21,1,24120.0,24070.0,False,NO_SIGNAL,NONE,market is sideways,24119.85,24100,156.85,125.1,False,,,,False,False
2026-06-23,09:50,24130.0,24149.7,24130.0,24145.2,38285,24114.02,24131.5,54.78,0.1293,77.16,1,24120.0,24070.0,False,NO_SIGNAL,NONE,market is sideways,24126.25,24150,,,False,,,,False,False
2026-06-23,09:55,24145.2,24151.7,24135.1,24142.8,47905,24117.03,24132.58,53.61,0.1069,14.46,-1,24120.0,24070.0,False,NO_SIGNAL,NONE,market is sideways,24131.3,24150,135.3,144.15,False,,,,False,False
2026-06-23,10:00,24142.8,24155.0,24136.0,24148.0,19305,24118.21,24134.04,55.82,0.1235,27.37,1,24120.0,24070.0,False,NO_SIGNAL,NONE,low volume — no participation,24124.9,24100,,,False,,,,False,False
2026-06-23,10:05,24148.0,24150.1,24130.0,24149.8,32565,24119.79,24135.54,56.59,0.1244,8.96,1,24120.0,24070.0,False,NO_SIGNAL,NONE,low volume — no participation,24127.1,24150,,,False,,,,False,False
