date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,ema_delta,rsi_delta,volume_ratio,efficiency_delta,vwap_dist_delta,candle_direction,price_momentum_pct,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-05-25,09:15,23959.1,23990.0,23944.6,23979.8,341510,23971.47,23785.53,80.81,0.0347,True,False,True,45.59,False,True,False,0.8413,20.45,28.42,4.117,0.1585,0.8418,1,0.8487,TRENDING,True,NO_SIGNAL,23967.6,23950,124.1,95.45,False,,,
2026-05-25,09:20,23979.8,23999.8,23963.4,23980.0,218335,23975.21,23804.05,80.82,0.02,True,False,True,0.55,False,True,False,0.835,18.52,0.01,2.042,-0.0063,0.0008,1,0.0008,TRENDING,True,NO_SIGNAL,23979.85,24000,,,False,,,
2026-05-25,09:25,23980.0,23995.0,23975.0,23985.4,160160,23977.42,23821.32,81.17,0.0333,True,False,True,27.0,False,True,False,0.8543,17.27,0.35,1.316,0.0193,0.0225,1,0.0225,TRENDING,True,NO_SIGNAL,23980.05,24000,102.65,112.65,False,,,
2026-05-25,09:30,23985.4,23997.6,23960.6,23968.4,97760,23977.19,23835.33,76.46,-0.0367,True,False,False,45.95,False,True,False,0.797,14.01,-4.71,0.74,-0.0573,-0.0709,-1,-0.0709,SIDEWAYS,True,NO_SIGNAL,23959.15,23950,,,False,,,
2026-05-25,09:35,23975.0,23975.0,23951.8,23952.1,86255,23975.52,23846.45,72.14,-0.0977,True,False,False,98.71,False,False,True,0.8033,11.12,-4.32,0.633,0.0063,-0.068,-1,-0.068,TRENDING,True,NO_SIGNAL,23940.0,23950,111.85,104.95,False,,,
2026-05-25,09:40,23953.0,23966.0,23945.0,23966.0,88855,23974.04,23857.83,73.51,-0.0335,True,False,False,61.9,False,False,True,0.808,11.39,1.38,0.656,0.0047,0.058,1,0.058,TRENDING,True,NO_SIGNAL,23950.65,23950,115.2,97.55,False,,,
2026-05-25,09:45,23966.0,23969.0,23943.2,23958.0,67730,23972.93,23867.37,71.33,-0.0623,True,False,False,31.01,False,False,True,0.76,9.54,-2.18,0.499,-0.048,-0.0334,-1,-0.0334,TRENDING,True,NO_SIGNAL,23938.9,23950,109.9,104.75,False,,,
2026-05-25,09:50,23950.8,23967.0,23946.0,23951.8,61620,23971.95,23875.41,69.6,-0.0841,True,False,False,4.76,False,True,False,0.7006,8.04,-1.73,0.45,-0.0594,-0.0259,1,-0.0259,TRENDING,True,NO_SIGNAL,23938.35,23950,110.3,104.2,False,,,
2026-05-25,09:55,23951.8,23960.0,23945.0,23957.0,55445,23971.1,23883.18,70.25,-0.0588,True,False,False,34.67,False,True,False,0.7591,7.77,0.65,0.418,0.0585,0.0217,1,0.0217,TRENDING,True,NO_SIGNAL,23937.15,23950,110.0,101.55,False,,,
2026-05-25,10:00,23957.0,23967.9,23946.0,23956.8,75270,23970.25,23890.19,70.19,-0.0561,True,False,False,0.91,False,True,False,0.4064,7.01,-0.06,0.595,-0.3527,-0.0008,-1,-0.0008,TRENDING,True,NO_SIGNAL,23942.95,23950,109.5,101.55,False,,,
2026-05-25,10:05,23966.2,23974.0,23954.4,23969.4,68380,23970.02,23897.74,71.88,-0.0026,True,False,False,16.33,False,True,False,0.1873,7.54,1.69,0.546,-0.2191,0.0526,1,0.0526,SIDEWAYS,True,NO_SIGNAL,23952.3,23950,114.85,93.45,False,,,
2026-05-25,10:10,23973.9,23978.0,23958.3,23970.0,65650,23969.96,23904.62,71.96,0.0002,True,False,False,19.8,False,False,True,0.2831,6.88,0.08,0.67,0.0958,0.0025,-1,0.0025,SIDEWAYS,True,NO_SIGNAL,23952.05,23950,114.9,90.55,False,,,
2026-05-25,10:15,23974.8,23995.0,23967.9,23994.0,71175,23970.73,23913.13,75.07,0.0971,True,False,False,70.85,False,True,False,0.4706,8.51,3.11,0.861,0.1875,0.1001,1,0.1001,TRENDING,True,NO_SIGNAL,23970.6,23950,120.6,83.05,False,,,
2026-05-25,10:20,23994.0,23995.5,23981.0,23981.0,54600,23971.27,23919.6,70.51,0.0406,True,False,False,89.66,False,False,True,0.5526,6.46,-4.56,0.74,0.082,-0.0542,-1,-0.0542,TRENDING,True,NO_SIGNAL,23967.3,23950,116.25,86.1,False,,,
